,NAME
0,Jordan Spieth
1,Rickie Fowler
2,Marc Leishman
3,Justin Thomas
4,Hideki Matsuyama
5,Dustin Johnson
6,Paul Casey
7,Rory McIlroy
8,Jon Rahm
9,Sergio Garcia
