,NAME
0,Dustin Johnson
1,Jason Day
2,Jordan Spieth
3,Adam Scott
4,Phil Mickelson
5,Rory McIlroy
6,Matt Kuchar
7,Brooks Koepka
8,Steve Stricker
9,Sergio Garcia
