,NAME,ADJUSTMENT,HOLES,RELATIVE_PAR,SG_PUTTING,SG_OTT,SG_APR,SG_ARG,WINS,TOP_10S,1ST,2ND,3RD,YEAR,SCORE_AVERAGE,DRIVING_DISTANCE,DRIVING_ACCURACY,DRIVING_USAGE,GREENS_IN_REGULATION,TOTAL_SG
19,Phil Mickelson,-32.636,1422.0,-0.31,33.707,-0.103,0.5660000000000001,0.398,1.0,7.0,1.0,2.0,1.0,2012,70.0299240506329,294.373417721519,0.543064369900272,0.1111111111111111,0.6413502109704642,0.8610000000000001
20,Webb Simpson,-7.987,1368.0,-0.3,13.911,0.222,0.319,0.371,1.0,7.0,1.0,0.0,1.0,2012,70.0396447368421,288.63157894736844,0.6146616541353384,0.1111111111111111,0.6747076023391813,0.912
21,John Senden,-23.093,1404.0,-0.27,2.436,0.503,0.473,-0.016,0.0,5.0,0.0,0.0,0.0,2012,70.05008974358975,291.01935483870966,0.6593001841620626,0.1103988603988604,0.6858974358974359,0.96
22,Robert Garrigus,-28.148,1602.0,-0.28,-16.613,0.797,0.68,-0.264,0.0,7.0,0.0,4.0,0.0,2012,70.06575280898876,310.3426966292135,0.5657788539144472,0.1111111111111111,0.6922596754057428,1.213
23,Lee Westwood,-37.474,972.0,-0.27,-14.374,0.628,0.6809999999999999,-0.166,0.0,7.0,0.0,1.0,1.0,2012,70.08381481481482,298.07547169811323,0.6216931216931217,0.10905349794238683,0.6975308641975309,1.143
24,Ernie Els,-48.783,1404.0,-0.24,-3.28,0.272,0.462,-0.006,1.0,5.0,1.0,1.0,0.0,2012,70.13098717948718,294.5576923076923,0.5670955882352942,0.1111111111111111,0.6652421652421653,0.728
25,Brendon de Jonge,-4.205,1998.0,-0.28,14.688,0.185,0.754,0.0,0.0,2.0,0.0,1.0,0.0,2012,70.13734782608695,288.82805429864254,0.6341935483870967,0.11061061061061062,0.6916916916916916,0.9390000000000001
26,Jason Day,-36.628,990.0,-0.29,24.741,0.121,0.102,0.275,0.0,3.0,0.0,0.0,0.0,2012,70.15221818181818,308.6388888888889,0.5248041775456919,0.10909090909090909,0.6131313131313131,0.498
27,Vijay Singh,-38.602,1782.0,-0.26,-32.738,0.435,0.52,0.212,0.0,4.0,0.0,0.0,0.0,2012,70.15553535353536,295.3838383838384,0.6162201303403331,0.1111111111111111,0.6621773288439955,1.167
28,Ian Poulter,-35.133,1008.0,-0.27,3.932,0.18600000000000005,0.068,0.207,0.0,4.0,1.0,0.0,2.0,2012,70.17619642857143,284.95454545454544,0.6513409961685823,0.10912698412698413,0.6160714285714286,0.4610000000000001
29,Davis Love III,-33.616,1152.0,-0.27,3.299,0.206,0.635,-0.038,0.0,2.0,0.0,0.0,1.0,2012,70.1935,296.3203125,0.5910614525139665,0.1111111111111111,0.6501736111111112,0.8029999999999999
30,Jeff Overton,-3.085,1746.0,-0.29,26.961,0.434,0.236,-0.08,0.0,3.0,0.0,0.0,0.0,2012,70.19717821782179,291.9845360824742,0.6190828402366864,0.1111111111111111,0.6632302405498282,0.59
