,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Rory McIlroy,54,"3,760",- 40.848,"32,868",106,428,756,645,972,-0.33,2.336,40,1.072,1.002,.273,96.228,40,16,4,10,"1,273",,4,2,1,2012
1,Tiger Woods,67,"4,675",- 58.454,"39,856",134,599,937,815,"1,206",-0.29,16.282,48,.553,1.224,.194,110.894,48,19,3,9,"1,437",,3,1,2,2012
2,Jim Furyk,84,"5,888",- 66.464,"46,477",166,828,"1,171","1,031","1,512",-0.25,27.493,65,.225,.830,.275,113.906,65,23,0,7,"3,310",,,2,1,2012
3,Jason Dufner,82,"5,731",- 35.636,"47,367",162,764,"1,142","1,021","1,476",-0.29,9.777,64,.553,.519,.222,92.549,64,22,2,8,"3,247",,2,1,,2012
4,Matt Kuchar,82,"5,743",- 45.884,"46,936",164,743,"1,142",965,"1,476",-0.27,31.151,66,.110,.490,.309,91.204,66,22,1,9,"3,393",,1,,1,2012
5,Adam Scott,58,"4,091",- 58.096,"35,335",116,484,812,695,"1,044",-0.28,-5.660,41,.605,.494,.203,47.709,41,16,0,5,"3,540",,,1,1,2012
6,Justin Rose,68,"4,775",- 45.636,"39,277",135,624,948,861,"1,224",-0.25,-6.468,53,.355,.840,.567,86.909,53,19,1,8,"2,330",,1,1,1,2012
7,Dustin Johnson,67,"4,702",- 41.188,"40,948",132,527,936,793,"1,206",-0.29,9.800,53,.720,.638,-.035,79.962,53,19,1,9,"2,573",,1,,1,2012
8,Bubba Watson,66,"4,619",- 22.814,"41,652",132,546,928,831,"1,188",-0.30,-14.301,51,1.485,.265,.059,77.959,51,19,1,7,"3,095",,1,2,,2012
9,Luke Donald,62,"4,362",- 41.405,"34,729",124,563,864,725,"1,116",-0.28,39.258,48,-.188,.582,.430,78.789,48,17,1,8,"2,825",,1,,2,2012
10,Louis Oosthuizen,63,"4,430",- 38.435,"37,141",124,548,878,780,"1,134",-0.28,-.212,49,.496,.478,.006,47.814,49,19,0,5,"2,465",,,2,1,2012
11,Bo Van Pelt,83,"5,829",- 42.395,"49,152",166,749,"1,156","1,002","1,494",-0.30,35.208,65,.450,.665,-.220,93.403,65,24,0,10,"3,453",,,1,,2012
12,Padraig Harrington,63,"4,444",- 50.628,"36,995",126,525,877,705,"1,134",-0.28,-.913,45,.193,.331,.384,39.939,45,18,0,3,"6,413",,,,,2012
13,Zach Johnson,94,"6,599",- 35.818,"52,845",188,897,"1,309","1,099","1,692",-0.30,42.000,74,.112,.342,.176,88.562,74,24,2,6,"3,027",,2,2,,2012
14,Brandt Snedeker,78,"5,468",- 20.455,"45,035",156,657,"1,086",895,"1,404",-0.31,55.901,65,-.276,.110,.316,65.682,65,22,2,7,,,2,1,1,2012
15,Steve Stricker,70,"4,907",- 16.454,"39,391",138,623,984,861,"1,260",-0.29,7.240,54,.116,.898,.147,69.922,54,19,1,7,"3,415",,1,1,,2012
16,Sergio Garcia,56,"3,958",- 42.056,"32,747",112,477,780,655,"1,008",-0.28,17.601,44,.346,.075,.283,48.594,44,16,1,3,"3,367",,1,,1,2012
17,Keegan Bradley,88,"6,189",- 30.408,"52,663",174,762,"1,236","1,054","1,584",-0.29,23.445,71,.680,.238,-.127,79.633,71,25,1,5,"3,445",,1,1,1,2012
18,Carl Pettersson,92,"6,474",- 32.830,"54,366",183,740,"1,284","1,058","1,656",-0.29,35.496,80,.041,.334,.049,69.395,80,26,1,6,"3,487",,1,2,1,2012
19,Phil Mickelson,79,"5,565",- 32.636,"46,511",158,599,"1,103",912,"1,422",-0.31,33.707,60,-.103,.566,.398,85.332,60,22,1,7,"2,027",,1,2,1,2012
20,Webb Simpson,76,"5,331",- 7.987,"43,872",152,654,"1,064",923,"1,368",-0.30,13.911,66,.222,.319,.371,74.110,66,22,1,7,"3,315",,1,,1,2012
21,John Senden,78,"5,487",- 23.093,"45,108",155,716,"1,086",963,"1,404",-0.27,2.436,62,.503,.473,-.016,61.972,62,22,0,5,"3,655",,,,,2012
22,Robert Garrigus,89,"6,264",- 28.148,"55,241",178,701,"1,239","1,109","1,602",-0.28,-16.613,74,.797,.680,-.264,73.107,74,24,0,7,"3,463",,,4,,2012
23,Lee Westwood,54,"3,822",- 37.474,"31,596",106,470,756,678,972,-0.27,-14.374,40,.628,.681,-.166,31.351,40,15,0,7,"2,895",,,1,1,2012
24,Ernie Els,78,"5,519",- 48.783,"45,951",156,617,"1,088",934,"1,404",-0.24,-3.280,65,.272,.462,-.006,44.004,65,21,1,5,"3,590",,1,1,,2012
25,Brendon de Jonge,115,"8,070",- 4.205,"63,831",221,983,"1,550","1,382","1,998",-0.28,14.688,102,.185,.754,.000,110.451,102,28,0,2,"6,561",,,1,,2012
26,Jason Day,55,"3,895",- 36.628,"33,333",108,402,766,607,990,-0.29,24.741,47,.121,.102,.275,48.135,47,15,0,3,"6,914",,,,,2012
27,Vijay Singh,99,"6,984",- 38.602,"58,486",198,851,"1,381","1,180","1,782",-0.26,-32.738,81,.435,.520,.212,61.778,81,24,0,4,"6,220",,,,,2012
28,Ian Poulter,56,"3,965",- 35.133,"31,345",110,510,783,621,"1,008",-0.27,3.932,38,.186,.068,.207,21.445,38,15,0,4,"6,346",,1,,2,2012
29,Davis Love III,64,"4,526",- 33.616,"37,929",128,529,895,749,"1,152",-0.27,3.299,52,.206,.635,-.038,45.075,52,16,0,2,"7,183",,,,1,2012
30,Jeff Overton,101,"7,093",- 3.085,"56,645",194,837,"1,352","1,158","1,746",-0.29,26.961,92,.434,.236,-.080,81.271,92,26,0,3,"6,427",,,,,2012
31,Graeme McDowell,54,"3,829",- 36.651,"30,552",107,530,756,644,972,-0.29,-10.701,38,.490,.641,-.478,14.135,38,16,0,4,"6,404",,,2,,2012
32,Henrik Stenson,51,"3,610",- 27.836,"27,213",94,422,658,553,846,-0.25,4.416,42,.343,.297,.169,38.409,42,13,0,1,"7,164",,,,1,2012
33,Jonas Blixt,72,"5,050",7.585,"40,083",140,576,978,802,"1,260",-0.33,51.477,64,-.100,-.010,.367,67.956,64,17,0,3,"6,806",,1,,2,2012
34,Ryan Palmer,81,"5,716",- 25.585,"48,797",161,656,"1,132",950,"1,458",-0.28,32.168,71,.485,.258,-.193,71.208,71,22,0,4,"6,556",,,,1,2012
35,Seung-Yul Noh,101,"7,120",- 24.157,"58,274",194,804,"1,355","1,177","1,746",-0.27,12.086,85,.355,.102,.122,61.308,85,28,0,3,"6,247",,,,,2012
36,Charl Schwartzel,54,"3,826",- 30.848,"31,652",107,463,754,609,972,-0.28,3.365,40,.356,.445,.039,36.981,40,16,0,2,"6,585",,,,,2012
37,Ryan Moore,89,"6,278",- 21.334,"50,911",177,816,"1,241","1,063","1,602",-0.30,34.312,81,.163,.270,-.009,68.627,81,23,0,7,"2,995",,1,,1,2012
38,Hunter Mahan,82,"5,823",- 54.647,"48,073",164,777,"1,147","1,018","1,476",-0.24,-7.000,64,.400,.372,-.122,34.632,64,23,2,5,"3,407",,2,,,2012
39,Will Claxton,99,"6,963",3.547,"55,182",190,866,"1,325","1,181","1,710",-0.26,-14.351,86,.524,.318,-.163,44.053,86,24,0,2,"7,096",,,,,2012
40,Ken Duke,104,"7,318",1.081,"56,240",199,915,"1,393","1,163","1,800",-0.28,31.447,90,.019,.309,-.023,58.877,90,27,0,6,"6,850",,,,,2012
41,Pat Perez,79,"5,578",- 18.123,"45,763",157,685,"1,099",925,"1,422",-0.28,11.008,69,.099,.272,.232,52.638,69,23,0,1,"6,553",,,,,2012
42,John Huh,99,"7,004",- 35.937,"57,075",198,950,"1,383","1,184","1,782",-0.26,14.226,85,.391,.031,-.025,47.964,85,27,1,4,"3,640",,1,1,,2012
43,Charles Howell III,98,"6,927",- 29.318,"57,448",195,748,"1,370","1,175","1,764",-0.25,4.174,77,.098,.257,.270,52.307,77,25,0,1,"6,893",,,1,,2012
44,Scott Piercy,95,"6,697",- 8.103,"57,860",190,745,"1,329","1,124","1,710",-0.30,19.034,86,.476,.202,-.042,73.686,86,27,1,3,"3,617",,1,,1,2012
