,NAME
0,Steve Stricker
1,Tiger Woods
2,Justin Rose
3,Henrik Stenson
4,Adam Scott
5,Sergio Garcia
6,Matt Kuchar
7,Charl Schwartzel
8,Jordan Spieth
9,Keegan Bradley
