,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
27,Vijay Singh,99,"6,984",- 38.602,"58,486",198,851,"1,381","1,180","1,782",-0.26,-32.738,81,0.435,0.52,0.212,61.778,81,24.0,0.0,4.0,"6,220",,,,2012
28,Ian Poulter,56,"3,965",- 35.133,"31,345",110,510,783,621,"1,008",-0.27,3.932,38,0.18600000000000003,0.068,0.207,21.445,38,15.0,0.0,4.0,"6,346",1.0,,2.0,2012
29,Davis Love III,64,"4,526",- 33.616,"37,929",128,529,895,749,"1,152",-0.27,3.299,52,0.20600000000000002,0.635,-0.038,45.075,52,16.0,0.0,2.0,"7,183",,,1.0,2012
30,Jeff Overton,101,"7,093",- 3.085,"56,645",194,837,"1,352","1,158","1,746",-0.29,26.961,92,0.434,0.23600000000000002,-0.08,81.271,92,26.0,0.0,3.0,"6,427",,,,2012
31,Graeme McDowell,54,"3,829",- 36.651,"30,552",107,530,756,644,972,-0.29,-10.700999999999999,38,0.49,0.6409999999999999,-0.478,14.135,38,16.0,0.0,4.0,"6,404",,2.0,,2012
32,Henrik Stenson,51,"3,610",- 27.836,"27,213",94,422,658,553,846,-0.25,4.416,42,0.34299999999999997,0.297,0.16899999999999998,38.409,42,13.0,0.0,1.0,"7,164",,,1.0,2012
33,Jonas Blixt,72,"5,050",7.585,"40,083",140,576,978,802,"1,260",-0.33,51.477,64,-0.1,-0.01,0.36700000000000005,67.956,64,17.0,0.0,3.0,"6,806",1.0,,2.0,2012
34,Ryan Palmer,81,"5,716",- 25.585,"48,797",161,656,"1,132",950,"1,458",-0.28,32.168,71,0.485,0.258,-0.193,71.208,71,22.0,0.0,4.0,"6,556",,,1.0,2012
35,Seung-Yul Noh,101,"7,120",- 24.157,"58,274",194,804,"1,355","1,177","1,746",-0.27,12.085999999999999,85,0.355,0.102,0.122,61.308,85,28.0,0.0,3.0,"6,247",,,,2012
36,Charl Schwartzel,54,"3,826",- 30.848,"31,652",107,463,754,609,972,-0.28,3.365,40,0.35600000000000004,0.445,0.039,36.981,40,16.0,0.0,2.0,"6,585",,,,2012
37,Ryan Moore,89,"6,278",- 21.334,"50,911",177,816,"1,241","1,063","1,602",-0.3,34.312,81,0.163,0.27,-0.009000000000000001,68.627,81,23.0,0.0,7.0,"2,995",1.0,,1.0,2012
38,Hunter Mahan,82,"5,823",- 54.647,"48,073",164,777,"1,147","1,018","1,476",-0.24,-7.0,64,0.4,0.37200000000000005,-0.122,34.632,64,23.0,2.0,5.0,"3,407",2.0,,,2012
39,Will Claxton,99,"6,963",3.547,"55,182",190,866,"1,325","1,181","1,710",-0.26,-14.350999999999999,86,0.524,0.318,-0.163,44.053000000000004,86,24.0,0.0,2.0,"7,096",,,,2012
40,Ken Duke,104,"7,318",1.081,"56,240",199,915,"1,393","1,163","1,800",-0.28,31.447,90,0.019,0.309,-0.023,58.876999999999995,90,27.0,0.0,6.0,"6,850",,,,2012
41,Pat Perez,79,"5,578",- 18.123,"45,763",157,685,"1,099",925,"1,422",-0.28,11.008,69,0.099,0.272,0.23199999999999998,52.638000000000005,69,23.0,0.0,1.0,"6,553",,,,2012
42,John Huh,99,"7,004",- 35.937,"57,075",198,950,"1,383","1,184","1,782",-0.26,14.225999999999999,85,0.391,0.031,-0.025,47.964,85,27.0,1.0,4.0,"3,640",1.0,1.0,,2012
