,NAME
0,Jordan Spieth
1,Jason Day
2,Bubba Watson
3,Henrik Stenson
4,Dustin Johnson
5,Justin Rose
6,Zach Johnson
7,Will Wilcox
8,Paul Casey
9,Jim Furyk
