,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Dustin Johnson,74,"5,072",11.669,"43,953",140,619,"1,041",940,"1,332",-0.37,23.861,62,.919,.829,.238,147.040,62,20,3,12,204,,3,2,3,2018
1,Justin Rose,66,"4,556",- 2.468,"37,630",124,610,924,831,"1,188",-0.32,22.479,53,.551,.526,.450,103.435,53,18,2,11,,,2,3,1,2018
2,Justin Thomas,82,"5,663",4.652,"46,153",148,674,"1,154","1,015","1,476",-0.33,18.528,68,.408,.844,.311,124.788,68,23,3,10,650,,3,1,,2018
3,Webb Simpson,92,"6,371",3.938,"54,042",184,803,"1,288","1,125","1,656",-0.29,56.018,81,-.116,.486,.370,116.022,81,26,1,9,"1,416",,1,1,,2018
4,Rory McIlroy,61,"4,241",- 13.545,"39,000",122,477,855,728,"1,098",-0.31,3.073,51,.761,.269,.322,71.989,51,18,1,7,"1,658",,1,1,,2018
5,Tommy Fleetwood,66,"4,588",- 11.452,"38,059",124,603,928,824,"1,188",-0.32,17.510,54,.580,.405,.296,86.720,54,19,0,6,"1,777",,,1,,2018
6,Tiger Woods,68,"4,730",- 14.227,"41,286",136,565,952,825,"1,224",-0.30,15.703,59,.061,.883,.385,94.154,59,18,1,7,41,,1,2,,2018
7,Rickie Fowler,74,"5,136",2.191,"44,363",148,682,"1,044",926,"1,332",-0.30,18.029,61,.244,.494,.242,77.798,61,20,0,6,"1,748",,,2,,2018
8,Brooks Koepka,62,"4,302",3.519,"36,350",116,498,876,762,"1,116",-0.31,9.058,54,.658,.232,.162,65.874,54,17,2,6,"1,167",,2,2,,2018
9,Tony Finau,98,"6,814",- 1.079,"56,721",180,757,"1,374","1,238","1,764",-0.32,18.774,81,.481,.500,.222,116.248,81,28,0,11,528,,,3,,2018
10,Jason Day,68,"4,739",- 5.991,"37,195",120,557,955,799,"1,224",-0.33,37.721,49,.176,-.140,.479,62.966,49,20,2,5,"1,696",,2,1,,2018
