,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Justin Thomas,46,"3,186",21.936,"27,768",92,376,640,575,828,-0.39,4.229,34,.136,1.129,.435,62.015,34,13,1,5,0,,1,1,1,2021
1,Bryson DeChambeau,34,"2,370",2.144,"21,835",68,277,480,408,612,-0.38,11.308,26,1.144,.696,.259,65.870,26,10,2,5,30,,2,,1,2021
2,Russell Henley,48,"3,311",38.655,"27,825",96,442,662,615,864,-0.29,10.400,44,.095,.918,.062,57.711,44,15,0,4,926,,,,2,2021
3,Joaquin Niemann,56,"3,876",32.343,"34,941",112,470,780,704,"1,008",-0.33,24.357,47,.584,.412,.107,76.170,47,15,0,4,535,,,2,,2021
4,Xander Schauffele,42,"2,920",12.405,"25,701",84,349,588,527,756,-0.36,25.031,33,.308,.529,.319,63.160,33,13,0,6,238,,,3,1,2021
5,Webb Simpson,46,"3,172",40.842,"26,932",92,458,644,580,828,-0.31,21.851,37,.247,.293,.386,56.104,37,13,0,5,903,,,,,2021
6,Viktor Hovland,50,"3,491",3.167,"30,092",100,441,692,621,900,-0.32,8.215,41,.757,.513,.079,63.496,41,15,1,5,177,,1,2,1,2021
7,Jon Rahm,44,"3,061",13.947,"27,010",88,389,616,572,792,-0.32,-.245,35,.774,.698,.199,58.226,35,13,0,9,478,,,1,,2021
8,Dustin Johnson,38,"2,659",- 3.379,"23,682",76,315,528,466,684,-0.33,.153,32,.442,.559,.227,39.448,32,11,1,4,404,,1,1,,2021
9,Cameron Tringale,58,"4,036",18.802,"34,869",116,493,804,715,"1,044",-0.32,25.361,52,.299,.379,.192,70.593,52,17,0,4,805,,,,2,2021
10,Tony Finau,48,"3,349",7.225,"29,291",96,368,668,582,864,-0.34,5.790,34,.349,.766,.284,53.373,34,15,0,6,503,,,2,,2021
11,Will Zalatoris,58,"4,052",6.101,"35,676",116,458,812,725,"1,044",-0.31,4.822,40,.254,.942,.120,57.516,40,,,,,,,1,,2021
12,Corey Conners,66,"4,599",20.122,"38,971",132,639,912,840,"1,188",-0.32,11.839,50,.637,.760,-.102,76.627,50,19,0,7,577,,,,1,2021
13,Cameron Smith,50,"3,471",30.414,"29,712",100,406,700,598,900,-0.37,24.808,41,.015,.193,.410,50.155,41,15,1,6,226,,1,1,,2021
14,Louis Oosthuizen,42,"2,942",.685,"24,905",84,375,584,503,756,-0.31,34.844,32,.064,.153,.348,52.894,32,13,0,4,816,,,1,1,2021
15,Daniel Berger,44,"3,054",30.730,"26,190",88,396,616,554,792,-0.34,21.135,37,.389,.550,-.131,51.037,37,13,1,4,629,,1,,,2021
16,Chris Kirk,54,"3,762",24.222,"31,505",108,479,750,667,972,-0.30,7.741,45,.257,.429,.329,53.438,45,16,0,4,879,,,1,,2021
17,Brooks Koepka,32,"2,237",8.074,"19,695",64,243,444,389,576,-0.33,17.117,22,.388,.544,.164,41.227,22,10,1,4,647,,1,1,,2021
18,Brian Harman,62,"4,317",35.231,"36,287",124,569,860,728,"1,116",-0.33,29.234,51,.259,.021,.180,52.718,51,17,0,3,875,,,,1,2021
19,Emiliano Grillo,66,"4,580",53.360,"39,562",132,599,920,866,"1,188",-0.29,-2.707,43,.617,.512,-.284,33.644,43,19,0,3,918,,,1,,2021
20,Matt Jones,62,"4,333",20.085,"37,782",124,484,864,755,"1,116",-0.30,24.845,46,.046,.039,.214,38.621,46,18,1,3,653,,1,,,2021
21,Patrick Reed,38,"2,665",5.265,"22,005",76,339,530,434,684,-0.40,26.632,28,.101,.233,.208,41.796,28,12,1,4,634,,1,,,2021
22,Charley Hoffman,69,"4,812",39.243,"42,325",138,535,958,849,"1,242",-0.31,16.929,51,.393,.672,.009,71.705,51,21,0,4,702,,,1,,2021
23,Sungjae Im,76,"5,306",37.506,"45,167",152,731,"1,056",944,"1,368",-0.32,30.552,67,.671,.168,-.174,75.145,67,22,0,3,644,,,1,,2021
24,Patrick Cantlay,42,"2,928",25.779,"25,282",84,359,588,523,756,-0.31,11.372,34,.442,.346,.458,53.736,34,14,1,4,294,,1,1,1,2021
25,Tyrrell Hatton,38,"2,668",4.631,"22,505",76,340,524,448,684,-0.32,9.798,31,.470,.750,-.303,38.249,31,13,0,3,"1,091",,,,1,2021
26,Keegan Bradley,56,"3,924",14.613,"33,624",112,513,778,699,"1,008",-0.28,-27.912,50,.344,.860,.259,45.212,50,18,0,4,824,,,1,,2021
27,Max Homa,54,"3,793",5.035,"32,701",108,427,748,623,972,-0.34,12.014,39,.138,.369,.078,34.825,39,18,1,4,538,,1,,,2021
28,Matt Fitzpatrick,40,"2,812",3.243,"23,161",80,381,556,477,720,-0.32,21.625,31,.516,.181,.209,49.706,31,12,0,4,"1,011",,,,,2021
29,Abraham Ancer,60,"4,188",34.959,"34,821",120,610,836,753,"1,080",-0.30,12.901,47,.343,.327,.023,45.489,47,17,0,3,797,,,,,2021
30,Stewart Cink,50,"3,476",43.129,"30,597",100,412,702,662,900,-0.30,9.383,40,-.013,.516,-.010,29.123,40,15,2,3,259,,2,,,2021
31,Sam Burns,50,"3,496",24.258,"30,731",100,396,692,615,900,-0.35,22.938,43,.266,.573,-.207,50.101,43,16,1,5,510,,1,,1,2021
32,Jordan Spieth,48,"3,375",4.694,"28,535",96,348,666,560,864,-0.35,15.880,38,-.204,.558,.404,44.694,38,15,1,6,357,,1,,2,2021
33,Collin Morikawa,44,"3,064",34.941,"25,887",88,434,616,577,792,-0.32,-16.971,36,.310,1.311,.157,47.072,36,14,1,4,639,,1,,,2021
34,James Hahn,44,"3,062",37.615,"26,301",88,402,610,560,792,-0.29,16.424,36,.021,.217,.004,25.146,36,15,0,4,"1,156",,,,,2021
35,Zach Johnson,58,"4,078",9.079,"33,615",116,496,804,706,"1,044",-0.27,38.099,50,-.077,.058,.006,37.415,50,16,0,3,"1,202",,,,,2021
36,Talor Gooch,52,"3,642",22.643,"31,191",104,431,718,615,936,-0.29,11.610,49,.106,.351,.057,36.808,49,18,0,3,"1,057",,,,,2021
37,Hideki Matsuyama,58,"4,067",21.310,"34,429",116,498,808,703,"1,044",-0.31,-14.515,49,.135,.519,.374,35.867,49,17,1,2,363,,1,1,,2021
38,Shane Lowry,44,"3,114",- 12.247,"26,362",88,371,612,544,792,-0.25,-4.636,35,.280,.284,.316,26.188,35,13,0,2,"1,214",,,,,2021
39,Jason Kokrak,54,"3,789",19.850,"32,954",108,465,752,668,972,-0.32,35.461,46,.479,.174,-.107,60.586,46,17,1,4,605,,1,,,2021
40,Kevin Streelman,56,"3,921",29.134,"32,959",112,503,776,702,"1,008",-0.30,-2.079,48,.278,.374,-.047,26.975,48,19,0,2,"1,157",,,,1,2021
41,Matt Wallace,32,"2,274",- 16.671,"19,084",64,271,448,375,576,-0.29,4.311,21,.123,.940,.218,31.231,21,11,0,1,"1,224",,,,1,2021
42,Rory McIlroy,38,"2,685",- 3.963,"24,184",76,302,528,447,684,-0.34,1.225,31,.774,.178,.112,34.197,31,12,0,4,"1,034",,,,,2021
43,Harris English,48,"3,353",34.957,"28,535",96,443,672,574,864,-0.33,15.075,38,.087,-.008,.084,21.242,38,15,1,5,552,,1,,,2021
44,Doug Ghim,58,"4,067",27.083,"34,158",116,527,810,722,"1,044",-0.28,-11.195,44,.149,.739,.161,34.983,44,18,0,1,"1,144",,,,,2021
45,Patton Kizzire,62,"4,331",45.696,"37,244",124,487,860,767,"1,116",-0.32,27.528,51,-.104,.124,-.009,28.070,51,17,0,3,"1,180",,,,,2021
46,Paul Casey,44,"3,103",3.380,"26,684",88,385,608,537,792,-0.29,2.480,34,.211,.705,.183,39.865,34,13,0,4,"1,058",,,,,2021
47,John Huh,40,"2,810",14.315,"23,307",80,358,554,474,720,-0.27,-13.547,33,.147,.239,.321,9.806,33,11,0,,"1,363",,,,,2021
48,Si Woo Kim,59,"4,137",30.861,"35,140",118,492,824,717,"1,062",-0.30,4.038,48,.266,.186,.339,41.014,48,19,1,3,698,,1,,,2021
49,Charles Howell III,54,"3,805",11.840,"32,100",108,446,752,636,972,-0.25,7.800,37,.430,-.451,.276,17.282,37,16,0,1,"1,283",,,,,2021
50,Steve Stricker,26,"1,845",- 6.660,"14,730",52,245,364,298,468,-0.28,6.718,20,.005,-.430,.452,7.243,20,8,0,1,"1,379",,,,,2021
51,Sepp Straka,66,"4,632",35.124,"40,035",132,529,920,796,"1,188",-0.30,-2.033,47,.144,.171,-.027,11.506,47,20,0,2,"1,226",,,,,2021
52,Denny McCarthy,62,"4,368",16.404,"36,664",124,552,860,727,"1,116",-0.28,24.935,48,.029,-.205,.214,26.791,48,19,0,3,"1,128",,,,1,2021
53,Cameron Davis,56,"3,933",27.668,"34,783",112,418,778,661,"1,008",-0.33,.533,52,.591,.289,-.294,31.036,52,16,0,2,"1,136",,,,1,2021
54,Ryan Palmer,50,"3,495",41.758,"30,371",100,414,696,618,900,-0.33,13.279,45,.363,.368,-.124,40.576,45,15,0,4,859,,,1,,2021
55,Matthew NeSmith,60,"4,219",25.935,"35,719",120,548,834,795,"1,080",-0.26,-14.094,52,.223,.811,-.076,35.703,52,19,0,2,"1,155",,,,,2021
56,Scottie Scheffler,56,"3,924",38.638,"34,187",112,521,776,690,"1,008",-0.33,1.261,46,.564,-.061,.261,36.415,46,18,0,4,721,,,1,,2021
57,Harold Varner III,50,"3,522",16.082,"30,173",100,413,696,610,900,-0.28,4.984,41,.222,.434,.261,42.630,41,16,0,1,"1,076",,,1,,2021
58,Lucas Glover,62,"4,384",5.725,"36,573",124,542,862,740,"1,116",-0.26,-9.434,49,.321,.165,.206,24.461,49,19,0,2,"1,172",,,,,2021
59,Roger Sloan,46,"3,240",17.706,"27,143",92,383,642,569,828,-0.26,-3.435,26,.347,.431,-.110,13.934,26,16,0,,"1,403",,,,,2021
60,Carlos Ortiz,52,"3,626",57.593,"31,590",104,439,724,640,936,-0.33,12.256,45,.360,-.309,.293,27.722,45,17,1,3,710,,1,,,2021
61,Tom Hoge,62,"4,348",44.167,"35,868",124,529,860,722,"1,116",-0.34,6.697,54,-.123,.548,-.020,28.563,54,21,0,1,"1,124",,,,1,2021
62,Jason Day,45,"3,183",5.093,"27,030",90,377,622,537,810,-0.27,2.606,38,.481,.004,.258,30.821,38,15,0,2,"1,251",,,,,2021
63,Brice Garnett,58,"4,071",38.452,"33,429",116,567,808,709,"1,044",-0.26,17.186,35,.137,-.378,-.273,-.789,35,19,0,2,"1,328",,,,,2021
