,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Rory McIlroy,64,"4,433",- 28.062,"37,261",120,537,896,800,"1,152",-0.36,13.150,48,1.367,.602,.022,108.746,48,17,3,12,"1,700",,3,2,,2014
1,Sergio Garcia,58,"4,024",- 24.910,"29,425",100,505,812,717,"1,044",-0.28,6.662,40,.382,1.150,.286,79.369,40,16,0,10,"3,935",,,3,2,2014
2,Jim Furyk,80,"5,583",- 46.963,"44,681",160,816,"1,115",990,"1,440",-0.24,6.024,66,.121,1.175,.408,118.540,66,21,0,11,"2,300",,,4,,2014
3,Adam Scott,68,"4,725",- 19.082,"41,275",136,588,956,842,"1,224",-0.32,12.309,56,.725,.610,.166,96.308,56,17,1,10,"3,915",,1,,1,2014
4,Matt Kuchar,88,"6,140",- 31.365,"49,943",176,830,"1,232","1,060","1,584",-0.28,34.717,76,.210,.527,.380,119.574,76,24,1,11,"3,450",,1,1,,2014
5,Dustin Johnson,57,"3,983",- 18.878,"32,970",106,458,801,698,"1,026",-0.32,3.362,41,.730,.533,-.015,54.553,41,17,1,7,"4,540",,1,2,,2014
6,Justin Rose,68,"4,772",- 37.571,"37,779",128,568,948,819,"1,224",-0.30,-2.062,52,.402,.744,.360,76.256,52,19,1,8,"3,900",,1,,,2014
7,Jason Day,48,"3,369",- 26.933,"28,914",96,394,671,553,864,-0.28,10.451,33,.495,.176,.402,45.849,33,15,1,6,"3,550",,1,2,,2014
8,Graeme McDowell,62,"4,353",- 35.204,"32,253",116,600,867,734,"1,116",-0.28,40.589,46,-.034,.379,-.055,53.881,46,17,0,8,"5,549",,,,1,2014
9,Charl Schwartzel,62,"4,344",- 24.368,"36,930",124,516,868,709,"1,116",-0.31,2.994,54,.550,.315,.421,72.436,54,18,0,5,"5,400",,,,,2014
10,Bubba Watson,73,"5,108",- 19.027,"40,863",130,618,"1,022",893,"1,314",-0.32,-2.812,56,.967,.324,.111,75.695,56,21,2,8,"2,465",,2,3,1,2014
