,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
11,Jimmy Walker,96,"6,718",- 18.289,"52,978",176,696,"1,347","1,168","1,728",-0.31,34.989,73,.119,.608,.048,91.491,73,27,3,10,"3,082",,3,,,2014
12,Graham DeLaet,79,"5,545",- 19.480,"42,781",141,684,"1,102","1,005","1,422",-0.26,-5.982,64,.360,.895,.007,74.753,64,24,0,7,"5,252",,,2,,2014
13,Jordan Spieth,98,"6,893",- 38.311,"54,470",188,806,"1,371","1,102","1,764",-0.31,31.520,79,.034,.286,.260,77.400,79,27,0,8,"4,052",,,2,,2014
14,Ryan Palmer,85,"5,955",- 5.559,"48,665",162,695,"1,187","1,020","1,530",-0.30,19.733,67,.760,.133,.078,84.769,67,23,0,8,"4,020",,,2,,2014
15,Kevin Na,94,"6,589",- 9.348,"52,700",188,842,"1,309","1,095","1,692",-0.29,24.589,78,-.100,.341,.397,74.378,78,27,0,6,"4,222",,,2,1,2014
16,Keegan Bradley,88,"6,181",- 18.270,"48,344",160,767,"1,230","1,056","1,584",-0.29,17.003,67,.430,.500,-.190,66.589,67,26,0,6,"5,184",,,1,,2014
17,Brendon Todd,108,"7,587",- 21.683,"60,260",215,976,"1,505","1,244","1,944",-0.27,60.431,91,.015,-.174,.289,72.207,91,29,1,7,"4,242",,1,,,2014
18,Brooks Koepka,56,"3,933",- 10.062,"34,389",112,445,782,655,"1,008",-0.31,6.783,42,.425,.598,-.226,40.255,42,,,,,,,,1,2014
19,Hideki Matsuyama,80,"5,635",- 28.380,"44,217",150,689,"1,120",922,"1,440",-0.28,-25.129,64,.325,1.022,.198,73.751,64,24,1,4,"4,275",,1,,1,2014
20,Harris English,92,"6,450",- 1.320,"52,660",176,771,"1,286","1,132","1,656",-0.28,-2.092,74,.193,.465,.047,50.126,74,28,1,7,"5,143",,1,,,2014
21,Russell Knox,92,"6,454",- 3.801,"52,566",184,866,"1,281","1,126","1,656",-0.24,-9.627,83,.221,.502,.215,68.253,83,26,0,3,"5,325",,,1,,2014
22,Bill Haas,105,"7,380",- 16.142,"56,626",194,924,"1,468","1,297","1,890",-0.26,12.063,82,.296,.382,.265,89.418,82,28,0,5,"4,095",,,1,,2014
23,Charles Howell III,106,"7,423",11.207,"62,028",204,780,"1,478","1,291","1,908",-0.27,3.549,95,.498,.017,.201,71.686,95,29,0,6,"5,213",,,,1,2014
24,Chris Kirk,104,"7,318",- 22.407,"58,203",200,916,"1,459","1,188","1,872",-0.28,32.127,86,.033,.287,.169,74.138,86,28,2,5,"1,650",,2,1,,2014
25,Marc Leishman,80,"5,635",- 22.875,"45,239",152,647,"1,116",939,"1,440",-0.29,-1.140,69,.164,.546,.056,51.681,69,24,0,6,"5,565",,,1,2,2014
26,Paul Casey,56,"3,949",- 20.474,"30,475",104,473,782,663,"1,008",-0.29,12.446,44,-.013,.762,-.024,44.336,44,16,0,,"6,106",,,,,2014
27,Zach Johnson,96,"6,741",- 5.748,"54,182",192,949,"1,346","1,165","1,728",-0.27,8.889,84,.145,.513,.093,72.001,84,26,1,5,"4,100",,1,1,1,2014
28,Henrik Stenson,54,"3,815",- 26.013,"29,322",100,520,756,671,972,-0.28,-6.447,38,.650,.575,-.064,37.693,38,15,0,3,"5,490",,,,1,2014
29,Rickie Fowler,85,"5,985",- 20.420,"45,808",154,712,"1,188",987,"1,530",-0.30,17.976,62,.264,.213,.003,47.703,62,26,0,10,"3,525",,,2,2,2014
30,Webb Simpson,84,"5,914",- 14.341,"48,462",168,732,"1,176",987,"1,512",-0.27,22.203,74,-.027,.333,.275,65.133,74,25,1,9,"4,225",,1,,3,2014
31,George McNeill,79,"5,560",- 10.391,"45,200",158,685,"1,101",941,"1,422",-0.28,18.955,70,-.061,.537,.053,55.920,70,24,0,4,"5,453",,,1,,2014
32,Gary Woodland,92,"6,490",- 27.086,"53,218",175,765,"1,286","1,102","1,656",-0.27,-10.847,73,.581,.381,.087,65.730,73,25,0,5,"4,155",,,1,,2014
33,John Senden,99,"6,960",- 3.233,"57,207",198,886,"1,379","1,209","1,782",-0.26,38.587,81,.224,.127,-.023,65.177,81,27,1,5,"4,165",,1,,,2014
34,Phil Mickelson,71,"5,023",- 33.289,"36,840",126,576,993,834,"1,278",-0.29,11.722,50,.201,.166,.266,43.419,50,21,0,1,"5,759",,,1,,2014
35,Jason Kokrak,65,"4,575",- 5.020,"39,447",130,503,904,765,"1,170",-0.30,13.532,61,.284,.476,-.074,55.384,61,19,0,2,"5,873",,,,,2014
36,Ryan Moore,84,"5,906",2.881,"43,280",152,825,"1,180","1,028","1,512",-0.28,2.629,62,.253,.499,.041,51.844,62,24,1,7,"5,271",,1,,,2014
37,Jerry Kelly,80,"5,609",18.913,"42,183",152,740,"1,113",944,"1,440",-0.28,15.752,66,-.089,.218,.160,34.784,66,23,0,4,"5,630",,,,2,2014
38,David Toms,62,"4,350",11.721,"34,110",124,653,865,767,"1,116",-0.25,2.970,54,.083,.203,.120,24.858,54,20,0,2,"6,303",,,,,2014
39,Brian Harman,111,"7,809",4.410,"64,149",222,943,"1,547","1,284","1,998",-0.28,11.399,101,-.014,.296,.121,52.053,101,32,1,6,"5,234",,1,,1,2014
40,Charley Hoffman,93,"6,556",- 2.858,"53,254",178,760,"1,295","1,123","1,674",-0.29,20.191,76,.415,.301,-.026,72.688,76,25,0,5,"5,514",,,,1,2014
41,Kevin Chappell,96,"6,763",1.761,"54,493",184,869,"1,339","1,168","1,728",-0.28,-24.167,87,.386,.526,.058,60.194,87,28,0,1,"5,537",,,,,2014
42,Martin Kaymer,64,"4,542",- 32.024,"35,391",120,549,896,744,"1,152",-0.29,-5.332,48,.279,.370,-.294,11.708,48,19,2,4,"4,095",,2,,,2014
43,Chris Stroud,88,"6,182",19.924,"48,020",168,787,"1,231","1,033","1,584",-0.29,13.118,72,-.174,.132,.278,30.098,72,25,0,4,"5,461",,,,2,2014
44,Robert Streb,71,"5,002",3.642,"42,598",142,592,993,839,"1,278",-0.27,7.609,64,.461,-.259,.117,28.039,64,21,0,2,"5,839",,,1,,2014
45,Carl Pettersson,91,"6,420",- 2.724,"53,784",182,746,"1,269","1,092","1,638",-0.25,-11.737,85,.294,.096,.006,22.027,85,28,0,4,"5,632",,,,1,2014
46,Billy Horschel,90,"6,364",- 17.087,"47,828",164,846,"1,262","1,141","1,620",-0.26,15.210,69,.473,.132,-.087,50.919,69,27,2,5,,,2,1,,2014
47,Brian Stuard,87,"6,122",15.797,"49,310",174,803,"1,214","1,000","1,566",-0.28,20.973,74,-.034,.195,-.119,24.108,74,29,0,4,"5,490",,,1,,2014
48,Daniel Summerhays,98,"6,904",11.426,"53,054",188,905,"1,365","1,180","1,764",-0.27,43.275,88,.040,.138,.005,59.422,88,27,0,2,"5,563",,,1,,2014
49,Hunter Mahan,85,"6,041",- 42.206,"50,294",170,774,"1,189","1,020","1,530",-0.25,14.888,72,.687,-.221,-.153,37.461,72,25,1,6,"2,915",,1,,,2014
50,Chad Campbell,53,"3,724",17.290,"30,510",106,483,739,691,954,-0.20,-19.952,46,.056,.641,.011,12.663,46,18,0,1,"6,488",,,,,2014
51,Patrick Reed,90,"6,371",- 17.156,"50,267",172,701,"1,261","1,031","1,620",-0.28,18.440,74,.040,-.352,.393,24.461,74,28,2,4,"4,152",,2,,,2014
52,Stuart Appleby,90,"6,359",- 5.106,"50,148",180,757,"1,253","1,020","1,620",-0.27,40.874,84,-.311,-.160,.345,30.300,84,29,0,3,"5,050",,,1,,2014
53,Freddie Jacobson,91,"6,432",- 7.076,"51,797",182,752,"1,267","1,025","1,638",-0.28,56.992,81,-.162,-.199,.068,33.253,81,27,0,4,"5,737",,,1,1,2014
54,Shawn Stefani,60,"4,243",- 6.444,"35,723",120,539,840,715,"1,080",-0.25,-8.331,57,.412,.065,.086,23.809,57,17,0,2,"5,963",,,1,,2014
55,Kevin Stadler,89,"6,294",- 8.852,"49,281",169,799,"1,243","1,104","1,602",-0.26,-30.351,65,.505,.386,-.012,26.720,65,26,1,3,"5,268",,1,,,2014
56,Cameron Tringale,111,"7,855",- 15.119,"60,534",214,988,"1,547","1,334","1,998",-0.25,10.507,98,.008,.322,.230,65.428,98,31,0,3,"4,150",,,1,,2014
57,Luke Guthrie,85,"5,994",10.248,"48,889",170,699,"1,185",972,"1,530",-0.29,14.457,76,-.231,.113,.228,22.746,76,26,0,2,"6,225",,,,,2014
58,Seung-Yul Noh,92,"6,503",- 2.224,"54,555",184,707,"1,285","1,109","1,656",-0.25,-9.089,75,-.268,.447,.248,22.945,75,27,1,3,"5,215",,1,,,2014
59,Scott Langley,93,"6,560",11.585,"52,320",186,791,"1,295","1,074","1,674",-0.27,21.185,79,-.395,.150,.262,22.474,79,29,0,1,"5,907",,,,1,2014
60,Brandt Snedeker,87,"6,169",- 20.582,"47,126",165,774,"1,215",991,"1,566",-0.28,21.541,66,-.043,.143,.217,42.505,66,25,0,3,"5,993",,,,,2014
61,Ricky Barnes,88,"6,200",19.038,"51,170",176,673,"1,227","1,029","1,584",-0.26,12.237,78,-.267,.396,.015,23.518,78,27,0,2,"6,275",,,,,2014
62,Ángel Cabrera,69,"4,902",- 25.426,"41,915",138,563,964,807,"1,242",-0.26,.439,61,.554,.078,-.434,12.493,61,23,1,1,"5,473",,1,,,2014
63,Will MacKenzie,82,"5,792",4.157,"47,666",164,736,"1,141",968,"1,476",-0.29,11.273,73,.044,-.041,.067,16.386,73,27,0,5,"5,713",,,1,,2014
64,Billy Hurley III,86,"6,082",- 2.153,"47,597",172,846,"1,201","1,020","1,548",-0.23,2.815,72,-.103,.250,.123,22.216,72,26,0,4,"6,120",,,,,2014
65,William McGirt,96,"6,763",25.354,"53,472",192,883,"1,339","1,113","1,728",-0.27,26.367,84,.002,-.202,-.035,6.596,84,29,0,4,"5,623",,,,,2014
66,Andrew Svoboda,77,"5,431",13.935,"44,261",154,711,"1,075",944,"1,386",-0.24,-1.704,66,.111,.323,-.064,22.707,66,24,0,2,"6,103",,,1,,2014
67,Tim Wilkinson,82,"5,803",- 4.433,"46,321",164,682,"1,146",911,"1,476",-0.26,14.569,71,-.145,-.287,.354,9.034,71,25,0,3,"6,307",,,,,2014
68,Camilo Villegas,95,"6,705",12.992,"53,231",182,795,"1,326","1,145","1,710",-0.28,-.021,84,-.159,.413,.061,26.478,84,29,1,1,"5,463",,1,,,2014
69,Kevin Kisner,85,"6,005",6.069,"48,933",170,728,"1,185",999,"1,530",-0.27,27.176,70,.049,.076,-.116,27.811,70,26,0,3,"6,218",,,,,2014
70,J.B. Holmes,86,"6,126",- 43.972,"52,979",172,656,"1,199",943,"1,548",-0.29,-5.753,77,.509,-.317,.283,30.894,77,24,1,2,"5,338",,1,,,2014
71,Matt Every,85,"6,031",- 19.625,"46,373",162,671,"1,183",969,"1,530",-0.27,47.669,65,-.234,.029,-.031,32.337,65,26,1,6,"5,451",,1,,1,2014
72,Ian Poulter,56,"3,993",- 32.558,"29,963",104,481,784,629,"1,008",-0.28,2.759,41,.042,-.176,.028,-1.568,41,17,0,2,"5,913",,,1,,2014
73,Robert Garrigus,80,"5,658",.253,"48,974",160,637,"1,114",938,"1,440",-0.29,3.439,73,.362,.156,-.136,31.319,73,25,0,2,"6,127",,,,,2014
74,Retief Goosen,90,"6,379",- 13.483,"49,665",172,701,"1,254","1,031","1,620",-0.25,27.461,78,-.443,.151,.269,25.623,78,26,0,2,"6,214",,,,,2014
75,Ben Martin,80,"5,657",1.571,"46,668",160,718,"1,116",951,"1,440",-0.27,18.338,63,.213,-.097,.015,26.545,63,26,0,3,"5,906",,,,3,2014
76,Jeff Overton,76,"5,354",21.757,"41,396",144,608,"1,060",900,"1,368",-0.26,1.129,66,.056,-.059,.047,4.038,66,24,0,3,"6,086",,,,,2014
77,Luke Donald,56,"3,989",- 27.834,"28,926",104,488,780,635,"1,008",-0.26,22.733,44,-.493,.315,.351,30.361,44,17,0,3,"6,007",,,1,,2014
78,Ernie Els,79,"5,619",- 30.856,"41,354",142,588,"1,104",876,"1,422",-0.26,-10.756,63,-.016,.141,.529,30.434,63,24,0,3,"5,338",,,,,2014
79,Heath Slocum,69,"4,871",9.883,"38,340",138,698,964,836,"1,242",-0.21,-4.862,62,.203,.083,.041,15.426,62,23,0,1,"6,386",,,,,2014
80,Lee Westwood,56,"3,992",- 30.695,"30,397",104,480,784,642,"1,008",-0.29,6.509,43,.334,.037,.124,27.796,43,18,0,2,"6,228",,,,,2014
81,Tim Clark,75,"5,303",2.386,"38,655",142,775,"1,047",868,"1,350",-0.25,1.538,62,-.286,.253,.094,5.317,62,26,1,3,"5,534",,1,1,,2014
82,Nick Watney,75,"5,327",- 20.281,"39,636",134,671,"1,049",909,"1,350",-0.25,-4.191,56,.298,.648,-.258,34.303,56,25,0,2,"6,221",,,,,2014
83,Aaron Baddeley,72,"5,122",- 24.714,"39,950",136,525,"1,004",775,"1,296",-0.29,51.445,59,-.589,-.291,.051,2.589,59,24,0,2,"6,277",,,,,2014
84,Brendan Steele,85,"6,015",2.810,"48,417",162,707,"1,188","1,017","1,530",-0.27,8.462,70,.237,.222,-.062,36.317,70,26,0,4,"5,924",,,,,2014
85,Brendon de Jonge,109,"7,747",- 29.651,"59,893",208,"1,033","1,522","1,265","1,962",-0.25,-2.961,92,.339,-.012,-.071,20.596,92,31,0,2,"6,043",,,,,2014
86,Danny Lee,80,"5,654",10.181,"45,471",160,726,"1,116",928,"1,440",-0.27,9.737,69,.157,-.007,-.272,1.268,69,28,0,1,"6,005",,,1,,2014
87,Will Wilcox,49,"3,456",14.153,"29,133",98,420,684,590,882,-0.24,-8.141,40,.487,.203,-.138,13.943,40,16,0,2,"6,443",,,,,2014
88,Bo Van Pelt,83,"5,882",- 3.347,"43,695",150,727,"1,157","1,025","1,494",-0.24,-3.574,67,.048,.468,-.085,25.325,67,25,0,1,"5,939",,,,,2014
89,Erik Compton,88,"6,251",- 18.025,"49,864",176,717,"1,226",999,"1,584",-0.27,21.133,75,-.089,.066,-.235,1.716,75,28,0,3,"5,688",,,1,,2014
90,David Hearn,97,"6,856",14.477,"51,918",186,913,"1,353","1,159","1,746",-0.25,25.838,82,-.118,.146,.108,36.991,82,28,0,3,"5,875",,,,,2014
91,Justin Hicks,99,"7,006",6.718,"56,456",198,"1,013","1,379","1,273","1,782",-0.23,6.188,90,.456,.172,-.631,5.952,90,30,0,3,"5,882",,,1,1,2014
92,Stewart Cink,91,"6,471",- 23.887,"51,111",174,755,"1,270","1,087","1,638",-0.25,-9.399,72,-.007,.442,-.192,8.122,72,25,0,,"5,939",,,,,2014
93,Andres Romero,77,"5,466",- 10.358,"45,363",154,589,"1,075",839,"1,386",-0.28,25.399,72,.050,-.381,.124,10.473,72,26,0,1,"6,150",,,,,2014
94,Louis Oosthuizen,46,"3,292",- 32.804,"25,240",84,391,642,550,828,-0.23,-12.882,30,.724,-.145,-.367,-6.517,30,16,0,1,"6,352",,,,,2014
95,K.J. Choi,80,"5,701",- 31.396,"42,535",152,716,"1,115",894,"1,440",-0.28,22.255,67,-.339,.049,.251,19.630,67,23,0,2,"5,786",,,2,,2014
96,Brad Fritsch,48,"3,388",14.612,"28,267",96,403,669,562,864,-0.26,-1.947,39,-.048,.098,.060,2.342,39,18,0,3,"6,483",,,,,2014
97,Jason Bohn,81,"5,741",1.290,"45,363",162,732,"1,127",944,"1,458",-0.26,9.201,73,-.475,.185,.038,-9.259,73,25,0,3,"5,794",,,1,1,2014
98,Justin Leonard,75,"5,335",- 17.872,"40,539",150,679,"1,044",780,"1,350",-0.25,30.751,62,-.752,-.497,.571,-11.252,62,22,0,2,"6,314",,,,1,2014
99,Morgan Hoffmann,99,"7,008",11.010,"58,486",198,747,"1,381","1,118","1,782",-0.29,45.523,90,-.172,-.425,.125,3.045,90,32,0,2,"4,232",,,,1,2014
100,Troy Merritt,62,"4,391",4.790,"35,359",124,532,866,726,"1,116",-0.27,1.325,55,-.213,.261,-.171,-5.461,55,20,0,1,"6,196",,,1,,2014
101,Jason Dufner,54,"3,843",- 14.391,"28,526",100,482,756,644,972,-0.26,-24.208,42,.316,.590,.192,21.916,42,17,0,4,"6,007",,,1,,2014
102,Michael Putnam,102,"7,232",.360,"59,769",204,868,"1,421","1,231","1,836",-0.23,-37.202,91,.111,.469,-.063,9.853,91,30,0,1,"6,097",,,,,2014
103,Robert Allenby,81,"5,741",3.554,"46,157",162,694,"1,129",986,"1,458",-0.20,-11.431,70,-.050,.552,-.234,7.370,70,29,0,,"6,367",,,,,2014
104,Vijay Singh,83,"5,899",- 11.520,"48,093",166,703,"1,159",977,"1,494",-0.22,-43.983,76,.167,.126,.261,-1.868,76,25,0,1,"6,005",,,1,,2014
105,Scott Brown,100,"7,071",22.568,"55,140",192,931,"1,399","1,170","1,800",-0.27,17.502,83,.277,-.139,-.005,28.635,83,30,0,4,"5,984",,,,1,2014
106,Ben Crane,81,"5,740",7.304,"45,204",162,749,"1,128",925,"1,458",-0.25,10.726,78,-.297,-.009,.017,-11.862,78,25,1,2,"5,606",,1,,,2014
107,Ryo Ishikawa,75,"5,313",10.513,"41,328",142,556,"1,044",877,"1,350",-0.31,5.682,62,-.259,.395,.095,20.002,62,24,0,3,"5,869",,,1,,2014
108,Matt Jones,83,"5,896",- 1.295,"46,823",158,678,"1,159",945,"1,494",-0.30,8.511,60,.236,-.421,.157,6.793,60,25,1,1,"5,754",,1,,,2014
109,Jhonattan Vegas,75,"5,308",18.650,"45,726",150,641,"1,048",933,"1,350",-0.23,-23.675,64,.628,-.439,.125,-3.578,64,23,0,2,"6,277",,,,1,2014
110,Brice Garnett,88,"6,234",17.411,"50,915",176,724,"1,229","1,032","1,584",-0.25,8.475,78,-.056,-.197,-.002,-11.452,78,28,0,1,"6,317",,,,,2014
111,Bud Cauley,56,"3,960",19.363,"32,856",112,450,782,680,"1,008",-0.23,-17.896,46,-.073,-.109,.467,-4.832,46,19,0,1,"6,448",,,,,2014
112,J.J. Henry,87,"6,170",12.599,"50,590",174,781,"1,213","1,090","1,566",-0.20,-14.566,78,.192,-.119,-.105,-17.051,78,28,0,,"6,380",,,,,2014
113,Charlie Wi,70,"4,973",1.658,"39,335",140,563,975,767,"1,260",-0.24,7.308,65,-.350,-.253,.383,-7.033,65,25,0,,"6,476",,,,,2014
114,Tyrone Van Aswegen,78,"5,533",10.453,"45,234",156,583,"1,089",901,"1,404",-0.26,1.074,65,-.735,.291,.181,-16.054,65,25,0,,"6,450",,,,,2014
115,Jonathan Byrd,72,"5,107",10.986,"41,481",144,617,"1,002",841,"1,296",-0.25,-17.614,65,.079,-.265,.159,-19.399,65,24,0,1,"6,422",,,,1,2014
116,Spencer Levin,59,"4,187",7.084,"33,051",118,533,821,683,"1,062",-0.24,-4.683,50,-.224,-.113,.107,-16.203,50,20,0,,"6,559",,,,,2014
117,"Ted Potter, Jr.",68,"4,836",- 2.060,"37,864",136,658,946,797,"1,224",-0.22,-12.934,60,.134,.096,-.104,-5.408,60,24,0,,"6,494",,,,,2014
118,Pat Perez,84,"5,973",.241,"48,114",168,702,"1,169",973,"1,512",-0.26,18.859,75,-.280,.063,-.039,-.303,75,25,0,3,"6,123",,,1,,2014
119,Bryce Molder,73,"5,182",9.147,"38,458",138,605,"1,017",840,"1,314",-0.26,15.929,64,-.763,.006,.275,-14.936,64,25,0,2,"6,240",,,,,2014
120,Ken Duke,78,"5,532",16.680,"40,775",148,765,"1,090",943,"1,404",-0.22,-26.967,66,-.092,.329,-.006,-11.759,66,25,0,,"6,500",,,,,2014
121,Andrew Loupe,61,"4,340",- .354,"37,576",122,426,852,693,"1,098",-0.26,17.494,50,.220,-.509,-.196,-6.780,50,22,0,1,"6,425",,,,,2014
122,Steven Bowditch,93,"6,622",- 5.517,"55,447",186,715,"1,297","1,061","1,674",-0.26,-45.280,78,-.002,.094,.307,-14.173,78,30,1,1,"5,592",,1,,,2014
123,Hudson Swafford,71,"5,049",3.824,"42,248",142,637,991,879,"1,278",-0.23,-11.617,58,.305,.015,-.436,-18.321,58,26,0,1,"6,454",,,,,2014
124,Sangmoon Bae,76,"5,402",6.739,"41,549",144,652,"1,062",861,"1,368",-0.29,27.179,65,.179,-.299,-.081,14.056,65,24,0,,"6,339",,,,,2014
125,James Hahn,80,"5,698",- 3.088,"46,337",160,677,"1,113",921,"1,440",-0.23,-22.332,73,.162,.009,-.102,-17.238,73,27,0,2,"6,349",,,,,2014
126,Michael Thompson,74,"5,258",10.336,"38,172",132,644,"1,035",875,"1,332",-0.27,27.951,60,-.211,-.046,-.060,8.923,60,22,0,1,"6,290",,,,,2014
127,Martin Flores,85,"6,046",5.942,"47,957",162,672,"1,185","1,018","1,530",-0.24,-9.760,68,-.001,.391,-.029,14.839,68,26,0,1,"6,271",,,,1,2014
128,Wes Roach,63,"4,479",6.997,"36,919",126,536,878,728,"1,134",-0.26,-.015,50,-.149,-.107,-.298,-27.719,50,22,0,1,"6,491",,,,,2014
129,Chesson Hadley,84,"5,991",- 9.175,"48,814",168,667,"1,170",953,"1,512",-0.27,2.884,71,-.319,.242,-.102,-9.926,71,29,1,4,"5,467",,1,,,2014
130,Brian Davis,93,"6,618",6.621,"49,511",178,872,"1,297","1,029","1,674",-0.26,11.779,81,-.064,-.419,.399,4.928,81,28,0,,"6,267",,,,,2014
131,Sean O'Hair,77,"5,480",5.511,"46,271",154,576,"1,072",879,"1,386",-0.25,5.510,67,.121,-.473,.026,-16.374,67,25,0,1,"6,527",,,,,2014
132,John Huh,83,"5,920",- 7.070,"44,849",158,775,"1,159",962,"1,494",-0.23,-11.142,70,-.059,.016,.033,-11.820,70,28,0,2,"6,107",,,,2,2014
133,Greg Chalmers,81,"5,767",4.338,"45,469",162,660,"1,128",873,"1,458",-0.27,62.482,73,-.503,-.636,.151,-9.728,73,27,0,1,"6,403",,,,,2014
134,Charlie Beljan,72,"5,127",5.155,"43,741",144,592,"1,003",845,"1,296",-0.27,-15.491,67,.523,-.128,-.453,-19.350,67,26,0,1,"6,396",,,,,2014
135,Gonzalo Fernandez-Castaño,82,"5,872",- 25.895,"44,938",156,688,"1,148",898,"1,476",-0.25,-8.265,69,-.262,-.070,.240,-14.588,69,25,0,1,"5,942",,,,,2014
136,Josh Teater,88,"6,269",5.507,"49,496",168,750,"1,225","1,031","1,584",-0.24,-16.385,75,.239,-.091,-.072,-10.710,75,28,0,,"6,471",,,,,2014
137,Boo Weekley,72,"5,155",- 20.891,"36,614",127,702,"1,009",882,"1,296",-0.19,-64.497,56,.732,.044,.099,-15.526,56,24,0,1,"6,269",,,,,2014
138,Chad Collins,74,"5,277",.328,"40,764",148,614,"1,029",799,"1,332",-0.25,26.719,61,-.635,-.522,.273,-27.185,61,28,0,1,"6,510",,,,,2014
139,Jamie Lovemark,60,"4,262",18.724,"36,292",120,452,838,701,"1,080",-0.26,-27.518,47,.374,-.321,.181,-16.487,47,20,0,,"6,593",,,,,2014
140,Kevin Streelman,78,"5,581",- 15.385,"40,121",139,743,"1,092",888,"1,404",-0.28,.333,60,.471,-.242,-.162,4.424,60,24,1,2,"5,451",,1,,1,2014
141,Ben Curtis,73,"5,217",- 8.182,"40,811",146,659,"1,017",823,"1,314",-0.24,25.623,64,-.257,-.416,.057,-13.813,64,24,0,1,"6,399",,,,,2014
142,Davis Love III,72,"5,138",.227,"42,664",144,591,"1,001",836,"1,296",-0.25,-22.774,63,.176,.053,-.285,-26.316,63,22,0,,"6,552",,,,,2014
143,Russell Henley,92,"6,594",- 27.115,"51,688",176,822,"1,291","1,024","1,656",-0.28,24.920,75,.205,-.371,-.272,-7.964,75,29,1,3,"4,115",,1,1,,2014
144,Rory Sabbatini,78,"5,569",- 1.270,"43,537",148,602,"1,085",918,"1,404",-0.25,-21.162,65,-.065,.021,-.201,-37.089,65,26,0,3,"6,238",,,,1,2014
145,Geoff Ogilvy,80,"5,723",- 9.201,"46,799",160,653,"1,116",929,"1,440",-0.23,-24.193,73,-.020,.038,-.050,-26.500,73,26,1,2,"4,280",,1,1,,2014
146,Martin Laird,62,"4,417",12.032,"34,477",116,533,870,740,"1,116",-0.26,-8.490,55,.238,-.205,.004,-6.402,55,20,0,1,"6,380",,,,,2014
147,Johnson Wagner,65,"4,635",8.859,"37,322",130,516,906,750,"1,170",-0.23,2.927,58,-.209,-.254,-.152,-32.795,58,24,0,1,"6,482",,,,,2014
148,James Driscoll,71,"5,067",6.209,"40,353",142,520,987,778,"1,278",-0.27,7.137,58,-.661,-.146,-.151,-48.418,58,25,0,,"6,494",,,,,2014
149,David Lingmerth,76,"5,430",1.639,"41,729",144,633,"1,058",866,"1,368",-0.25,-5.820,67,.094,-.171,-.142,-20.558,67,26,0,2,"6,414",,,,,2014
150,John Peterson,60,"4,289",- .802,"34,574",120,535,836,708,"1,080",-0.21,-45.067,55,.415,.539,-.614,-26.394,55,25,0,,"6,635",,,,,2014
