,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
93,Josh Teater,67,"4,691",64.889,"39,126",134,595,937,850,"1,206",-0.27,-.884,53,.081,.361,-.162,13.900,53,24,0,2,0,,,,,2019
94,Cameron Davis,72,"5,047",63.891,"44,493",144,583,"1,005",891,"1,296",-0.29,-11.600,57,.197,.165,-.021,7.782,57,,,,,,,,,2019
95,Sepp Straka,72,"5,058",53.036,"43,833",144,641,"1,003",895,"1,296",-0.30,3.255,58,.378,.309,-.191,32.028,58,25,0,1,0,,,,1,2019
96,Sam Burns,78,"5,497",40.629,"47,917",156,622,"1,088",909,"1,404",-0.31,25.125,68,.277,-.293,-.304,3.366,68,26,0,3,0,,,,1,2019
97,Danny Lee,81,"5,713",37.729,"46,415",154,645,"1,130",973,"1,458",-0.28,-17.247,72,.085,.156,-.139,-9.874,72,27,0,3,0,,,1,,2019
98,Brian Stuard,94,"6,610",63.952,"47,575",172,932,"1,311","1,098","1,692",-0.27,13.515,77,-.239,.266,.190,30.239,77,29,0,3,0,,,,,2019
99,Hank Lebioda,70,"4,914",56.109,"41,154",140,640,975,872,"1,260",-0.27,-16.223,58,.085,.281,.081,9.695,58,23,0,1,0,,,,,2019
100,Brian Harman,89,"6,281",39.450,"46,719",162,848,"1,244","1,028","1,602",-0.28,6.376,71,.312,-.301,.245,24.545,71,29,0,4,0,,,,,2019
101,Kevin Tway,80,"5,628",53.576,"43,741",144,620,"1,122",965,"1,440",-0.27,-8.786,67,-.099,.124,.249,9.554,67,26,1,2,0,,1,,,2019
102,Keith Mitchell,83,"5,847",47.732,"45,475",150,701,"1,161","1,006","1,494",-0.30,-20.632,61,.657,.037,-.102,15.464,61,26,1,3,0,,1,,,2019
103,Dominic Bozzelli,67,"4,688",70.515,"39,721",134,564,937,807,"1,206",-0.33,41.522,49,-.236,-.766,.005,-7.331,49,24,0,2,0,,,,,2019
104,J.J. Spaun,82,"5,754",70.779,"42,982",148,729,"1,147","1,009","1,476",-0.27,-1.328,64,-.046,.094,.003,1.948,64,26,0,2,0,,,,1,2019
105,Roger Sloan,84,"5,909",57.836,"49,695",168,724,"1,171",984,"1,512",-0.30,7.085,70,-.072,.096,-.105,1.407,70,27,0,3,0,,,1,,2019
106,Adam Svensson,67,"4,702",57.840,"38,839",134,610,935,837,"1,206",-0.26,-33.084,55,.213,.509,.259,20.885,55,,,,,,,,,2019
107,Alex Noren,60,"4,262",.734,"31,314",104,524,840,705,"1,080",-0.26,-11.455,43,.083,-.366,.280,-11.588,43,18,0,,0,,,,,2019
108,Harris English,91,"6,396",69.971,"54,774",182,782,"1,270","1,095","1,638",-0.28,41.671,79,-.024,-.437,.134,15.806,79,28,0,,0,,,,,2019
109,Bill Haas,69,"4,856",46.862,"40,224",138,590,962,803,"1,242",-0.27,3.354,61,-.083,-.169,.350,9.336,61,23,0,2,0,,,,,2019
110,Pat Perez,62,"4,369",36.671,"28,607",100,566,867,729,"1,116",-0.28,21.954,41,-.498,-.085,.335,11.797,41,21,0,3,0,,,,,2019
111,Brice Garnett,85,"5,958",82.723,"44,260",154,851,"1,191","1,064","1,530",-0.28,5.928,65,.281,-.253,-.153,-2.181,65,28,0,2,0,,,,,2019
112,Carlos Ortiz,82,"5,770",57.659,"49,366",164,714,"1,146","1,001","1,476",-0.27,5.723,72,.177,-.072,-.060,9.003,72,28,0,3,0,,,,1,2019
113,Kyle Stanley,76,"5,375",28.112,"36,980",128,735,"1,064",923,"1,368",-0.26,-16.351,55,.037,.309,-.062,-.689,55,25,0,1,0,,,,,2019
114,Sung Kang,84,"5,937",35.472,"48,074",160,711,"1,171","1,000","1,512",-0.27,-6.194,70,.165,.036,-.083,2.075,70,27,1,4,0,,1,,,2019
115,Richy Werenski,83,"5,836",65.608,"48,739",166,710,"1,159",985,"1,494",-0.28,5.430,73,.057,-.163,-.114,-10.702,73,27,0,1,0,,,,1,2019
116,Max Homa,80,"5,655",33.780,"48,029",160,642,"1,117",938,"1,440",-0.28,-.380,69,.213,.179,-.304,5.655,69,25,1,2,0,,1,,,2019
117,Roberto Castro,72,"5,059",62.169,"40,862",144,677,"1,003",887,"1,296",-0.26,-4.903,62,-.382,.432,.039,.569,62,22,0,2,0,,,,,2019
118,Kevin Na,60,"4,254",14.660,"27,800",96,538,840,696,"1,080",-0.27,3.925,44,-.282,-.076,.355,3.841,44,19,1,3,0,,1,,,2019
119,Trey Mullinax,73,"5,153",44.152,"45,285",146,519,"1,017",887,"1,314",-0.28,-22.265,63,.341,.134,-.293,-10.834,63,,,,,,,,,2019
120,Austin Cook,64,"4,507",49.892,"32,591",112,626,891,757,"1,152",-0.30,-4.658,53,.236,-.095,-.372,-16.927,53,23,0,2,0,,,,,2019
121,Stephan Jaeger,71,"4,991",64.266,"41,712",142,590,991,843,"1,278",-0.27,-5.176,57,-.239,-.127,.365,-5.275,57,,,,,,,,,2019
122,Roberto Díaz,65,"4,570",58.468,"37,363",130,614,905,779,"1,170",-0.28,8.239,51,.118,-.466,.063,-6.295,51,,,,,,,,,2019
123,Luke List,63,"4,471",16.048,"39,481",126,468,882,742,"1,134",-0.28,-15.400,55,.481,-.005,.006,11.090,55,22,0,4,0,,,,,2019
124,Wes Roach,63,"4,413",74.369,"37,062",126,581,881,767,"1,134",-0.28,-.019,49,.079,-.110,.197,8.105,49,21,0,2,0,,,,1,2019
125,Chase Wright,69,"4,851",64.047,"41,274",138,603,963,844,"1,242",-0.29,21.623,57,.013,-.069,-.313,.585,57,,,,,,,,,2019
126,Kramer Hickok,77,"5,427",58.730,"44,810",154,743,"1,073",930,"1,386",-0.26,-35.608,59,.336,-.264,.245,-16.912,59,,,,,,,,,2019
127,Jimmy Walker,74,"5,254",19.392,"39,488",132,576,"1,035",862,"1,332",-0.23,-7.430,57,-.181,.051,.322,3.519,57,,,,,,,,,2019
128,Andrew Landry,74,"5,218",55.614,"42,445",148,743,"1,036",894,"1,332",-0.27,-9.937,65,.185,.200,-.244,-.730,65,25,0,1,0,,,,1,2019
129,Patton Kizzire,74,"5,236",39.603,"38,932",132,629,"1,036",852,"1,332",-0.31,34.050,53,-.489,-.132,-.120,-5.192,53,25,0,1,0,,,,,2019
130,Bronson Burgoon,55,"3,885",36.217,"30,198",102,512,770,673,990,-0.27,-13.679,47,.054,-.033,-.074,-16.148,47,20,0,2,0,,,1,,2019
131,Ryan Blaum,82,"5,783",63.776,"47,425",164,715,"1,144",959,"1,476",-0.28,13.937,72,-.052,-.292,.006,-10.411,72,28,0,1,0,,,,,2019
132,Kyoung-Hoon Lee,84,"5,944",45.791,"45,788",160,775,"1,174","1,023","1,512",-0.26,-5.935,62,.125,-.011,-.124,-6.611,62,30,0,2,0,,,,1,2019
133,Alex Prugh,71,"5,007",56.841,"43,122",142,635,991,913,"1,278",-0.25,-19.615,57,.379,.222,-.323,-3.770,57,,,,,,,,,2019
134,Phil Mickelson,60,"4,268",11.881,"36,755",120,426,839,693,"1,080",-0.30,-8.025,50,-.307,-.065,.094,-21.906,50,20,1,2,0,,1,1,,2019
135,Jason Dufner,72,"5,092",44.168,"37,133",128,682,"1,006",917,"1,296",-0.24,-28.161,57,.264,.091,.124,-.870,57,25,0,2,0,,,,,2019
136,Hudson Swafford,57,"4,030",36.966,"33,653",114,459,796,685,"1,026",-0.30,-1.471,47,-.047,.119,-.239,-9.301,47,,,,,,,,1,2019
137,Brian Gay,89,"6,282",68.693,"44,537",162,871,"1,241","1,031","1,602",-0.27,24.096,72,-.286,-.392,.065,-20.005,72,28,0,2,0,,,,1,2019
138,Charley Hoffman,70,"4,985",10.246,"36,658",124,568,975,838,"1,260",-0.27,-7.438,47,.049,.396,-.230,2.701,47,24,0,2,0,,,1,,2019
139,Patrick Rodgers,51,"3,605",34.623,"30,579",102,407,711,594,918,-0.29,19.240,45,.157,-.383,.029,10.377,45,18,0,1,0,,,1,,2019
140,Beau Hossler,83,"5,866",58.595,"44,913",150,686,"1,159","1,001","1,494",-0.30,42.084,68,.048,-.765,-.080,-12.125,68,27,0,,0,,,,,2019
141,Cameron Champ,76,"5,374",51.905,"48,322",152,590,"1,067",948,"1,368",-0.29,-6.720,68,.657,-.335,-.597,-25.463,68,26,1,3,0,,1,,,2019
142,Ben Silverman,68,"4,810",45.268,"39,058",136,645,949,814,"1,224",-0.25,-6.283,56,.164,-.330,-.079,-20.004,56,,,,,,,,,2019
143,José de Jesús Rodríguez,65,"4,580",62.284,"37,720",130,547,907,752,"1,170",-0.29,7.422,49,-.067,-.455,.129,-11.777,49,,,,,,,,,2019
144,Branden Grace,68,"4,840",16.641,"33,050",112,543,949,809,"1,224",-0.25,-23.379,45,.024,.110,.278,-4.813,45,22,0,2,0,,,1,,2019
145,Scott Stallings,78,"5,513",59.527,"43,958",148,641,"1,087",937,"1,404",-0.28,-22.353,68,.009,.259,-.017,-5.306,68,26,0,2,0,,,,1,2019
146,Julián Etulain,65,"4,606",38.449,"37,936",130,496,905,743,"1,170",-0.26,2.462,51,-.284,-.289,.091,-22.122,51,,,,,,,,,2019
147,Chesson Hadley,74,"5,257",30.540,"39,287",132,616,"1,031",861,"1,332",-0.27,13.772,60,-.336,.231,-.252,-7.658,60,26,0,3,0,,,1,,2019
148,Adam Long,76,"5,404",27.273,"44,386",152,707,"1,063",893,"1,368",-0.24,-25.109,68,-.036,.138,-.151,-28.447,68,27,1,2,0,,1,,,2019
149,Jim Knous,53,"3,766",22.576,"31,427",106,408,739,646,954,-0.25,-9.716,39,.041,.111,-.275,-14.518,39,,,,,,,,,2019
150,Fabián Gómez,62,"4,365",67.026,"35,990",124,591,867,760,"1,116",-0.26,-6.909,48,.048,-.286,.222,-7.652,48,,,,,,,,,2019
151,Jonathan Byrd,49,"3,456",47.023,"27,600",98,399,685,575,882,-0.27,-14.840,36,-.758,.204,.205,-27.418,36,,,,,,,,,2019
152,Sam Saunders,74,"5,237",53.475,"44,388",148,583,"1,031",863,"1,332",-0.28,-5.518,67,-.136,.100,-.247,-24.467,67,,,,,,,,,2019
153,Peter Uihlein,78,"5,507",70.925,"41,646",140,550,"1,088",927,"1,404",-0.29,19.997,58,-.442,-.168,.085,-10.480,58,29,0,2,0,,,,,2019
154,Brandon Harkins,83,"5,864",72.053,"50,515",166,659,"1,157","1,011","1,494",-0.29,-33.194,69,.030,.042,.019,-26.873,69,,,,,,,,,2019
155,Kelly Kraft,81,"5,746",47.833,"44,695",154,696,"1,129",910,"1,458",-0.29,3.507,65,-.307,-.189,-.273,-46.501,65,31,0,3,0,,,1,,2019
156,Ernie Els,49,"3,484",21.829,"23,348",82,406,685,562,882,-0.24,.296,30,-.463,-.355,.282,-15.796,30,,,,,,,,,2019
157,Tyler Duncan,83,"5,867",73.890,"47,842",166,807,"1,159","1,023","1,494",-0.25,-36.727,65,.156,-.152,-.197,-49.260,65,,,,,,,,,2019
158,Scott Langley,74,"5,242",56.793,"40,147",148,713,"1,033",826,"1,332",-0.29,8.317,64,-.593,-.483,.179,-49.100,64,,,,,,,,,2019
