,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
0,Rory McIlroy,68,"4,695",.846,"40,123",128,591,956,839,"1,224",-0.37,24.221,57,1.195,.633,.297,145.379,57,19,3,14,,-5,3,1,,2019
1,Patrick Cantlay,72,"4,980",10.057,"41,440",136,578,"1,008",871,"1,296",-0.34,22.027,57,.475,.640,.356,105.858,57,21,1,9,,-8,1,2,2,2019
2,Webb Simpson,78,"5,392",19.390,"45,020",156,731,"1,094",924,"1,404",-0.32,41.957,69,-.007,.613,.294,104.007,69,21,0,6,,-4,,3,1,2019
3,Brooks Koepka,74,"5,121",14.220,"40,794",132,643,"1,040",932,"1,332",-0.32,13.106,58,.468,.636,.036,79.205,58,21,3,9,,-7,3,3,1,2019
4,Justin Thomas,72,"4,967",34.532,"38,682",128,607,"1,012",916,"1,296",-0.34,-10.419,56,.479,.985,.352,91.314,56,20,1,7,,-10,1,1,3,2019
5,Jon Rahm,68,"4,720",14.042,"39,113",128,595,952,845,"1,224",-0.33,17.793,53,.692,.405,.073,79.788,53,20,1,12,,-4,1,,2,2019
6,Adam Scott,61,"4,252",- .715,"31,731",106,511,853,757,"1,098",-0.31,15.321,44,.285,.846,.351,80.569,44,18,0,9,,-3,,2,,2019
7,Tommy Fleetwood,64,"4,472",- 9.317,"35,841",120,573,895,771,"1,152",-0.27,8.441,50,.545,.235,.329,63.931,50,18,0,6,,-1,,2,1,2019
8,Paul Casey,75,"5,225",11.580,"37,597",126,710,"1,049",958,"1,350",-0.30,-5.058,55,.614,.706,.133,74.878,55,22,1,7,,-2,1,1,1,2019
9,Justin Rose,62,"4,334",- 4.841,"35,171",116,522,868,723,"1,116",-0.34,24.682,49,.179,.525,.036,60.908,49,17,1,7,,-2,1,,3,2019
10,Xander Schauffele,74,"5,154",13.704,"37,706",124,627,"1,040",911,"1,332",-0.32,12.949,53,.456,.481,.211,73.836,53,21,2,6,,-4,2,2,1,2019
11,Hideki Matsuyama,88,"6,118",28.001,"48,481",160,755,"1,232","1,099","1,584",-0.30,.811,73,.381,.759,.347,109.340,73,24,0,7,,-3,,,2,2019
12,Dustin Johnson,70,"4,892",.616,"41,178",132,544,979,844,"1,260",-0.32,5.378,56,.703,.288,.234,73.995,56,19,1,7,,-3,1,2,,2019
13,Matt Kuchar,80,"5,564",29.300,"46,326",160,757,"1,123",999,"1,440",-0.30,19.924,66,.063,.591,.105,70.085,66,22,2,8,,-4,2,2,,2019
14,Tony Finau,84,"5,859",17.185,"49,523",160,669,"1,175","1,020","1,512",-0.30,-6.720,65,.439,.384,.048,49.902,65,25,0,6,,-3,,2,1,2019
15,Rickie Fowler,76,"5,302",14.559,"46,071",152,645,"1,064",927,"1,368",-0.32,34.066,63,.247,.158,.120,67.135,63,20,1,6,,-2,1,1,,2019
16,Lucas Glover,90,"6,270",37.447,"53,306",180,830,"1,255","1,104","1,620",-0.29,13.324,81,.337,.330,.145,79.091,81,26,0,7,,E,,,,2019
17,Henrik Stenson,50,"3,520",- 15.558,"28,270",100,502,696,595,900,-0.26,4.442,42,-.293,1.149,.010,40.800,42,15,0,3,0,,,,,2019
18,Jim Furyk,68,"4,764",2.151,"37,397",136,705,947,848,"1,224",-0.24,6.449,57,-.072,.741,.114,51.114,57,21,0,3,0,,,1,,2019
19,Bryson DeChambeau,72,"5,025",27.710,"43,555",144,658,"1,012",858,"1,296",-0.32,24.564,66,.421,.236,-.016,66.839,66,21,1,5,,E,1,1,,2019
20,Patrick Reed,88,"6,139",39.276,"49,855",168,741,"1,233","1,049","1,584",-0.31,19.054,73,.145,.138,.332,63.946,73,25,1,5,,-6,1,,,2019
21,Jason Day,64,"4,480",13.577,"33,819",112,554,897,803,"1,152",-0.30,16.735,47,.535,-.083,.025,39.166,47,21,0,6,0,,,,,2019
22,Gary Woodland,84,"5,860",39.274,"46,842",152,747,"1,178","1,044","1,512",-0.33,-9.277,65,.472,.545,.008,57.341,65,24,1,8,,-3,1,2,,2019
23,Chez Reavie,92,"6,424",38.699,"45,927",160,973,"1,285","1,125","1,656",-0.30,4.306,70,.254,.625,-.117,57.680,70,28,1,6,,-1,1,,2,2019
24,Sungjae Im,118,"8,210",79.697,"67,473",228,"1,078","1,647","1,436","2,124",-0.31,32.264,100,.341,.075,.285,102.314,100,35,0,7,,-1,,,1,2019
25,Louis Oosthuizen,64,"4,490",6.553,"33,181",112,597,892,770,"1,152",-0.29,8.113,48,.130,.208,.270,37.296,48,19,0,5,,E,,1,,2019
26,Sergio Garcia,44,"3,112",- 17.895,"26,616",88,360,612,501,792,-0.30,-2.954,38,.350,.525,-.051,28.364,38,15,0,5,0,,,1,,2019
27,Scott Piercy,86,"5,978",70.604,"45,620",156,816,"1,207","1,085","1,548",-0.29,10.237,70,.270,.147,.067,44.173,70,24,0,6,0,,,1,1,2019
28,Rory Sabbatini,93,"6,494",54.080,"53,831",186,868,"1,297","1,120","1,674",-0.30,11.699,76,.300,.103,.263,62.357,76,26,0,6,0,,,,2,2019
29,Kevin Kisner,86,"6,024",31.780,"49,265",172,832,"1,199","1,037","1,548",-0.28,31.952,71,.149,.257,-.186,47.619,71,25,1,5,,-2,1,,,2019
30,Jason Kokrak,90,"6,298",40.811,"50,250",164,788,"1,256","1,114","1,620",-0.30,-1.332,75,.550,.745,-.241,77.699,75,24,0,5,,E,,1,,2019
31,Marc Leishman,72,"5,040",31.275,"37,908",128,601,"1,012",871,"1,296",-0.30,17.219,57,-.077,.472,.135,47.487,57,21,1,7,,-1,1,,2,2019
32,Daniel Berger,66,"4,629",20.219,"39,735",132,605,924,774,"1,188",-0.28,-2.510,59,.344,.007,-.029,16.501,59,20,0,1,0,,,1,,2019
33,Vaughn Taylor,91,"6,350",60.907,"51,488",182,876,"1,269","1,095","1,638",-0.32,52.113,82,-.205,.269,.032,60.009,82,27,0,4,0,,,,,2019
34,Jordan Spieth,79,"5,542",23.794,"46,634",158,587,"1,105",893,"1,422",-0.34,56.900,66,-.452,-.198,.246,30.287,66,23,0,4,0,,,,1,2019
35,Byeong Hun An,77,"5,407",19.942,"39,920",130,625,"1,078",939,"1,386",-0.29,-35.554,61,.351,.420,.631,49.952,61,22,0,3,0,,,,1,2019
36,Charles Howell III,91,"6,339",74.942,"50,270",166,803,"1,278","1,155","1,638",-0.29,21.214,73,.262,-.072,.328,59.051,73,27,1,5,,E,1,,,2019
37,Ian Poulter,58,"4,076",13.114,"29,153",100,519,816,698,"1,044",-0.30,18.695,44,-.078,.150,.267,33.614,44,18,0,6,0,,,,1,2019
38,Brandt Snedeker,99,"6,946",35.431,"49,969",174,876,"1,385","1,157","1,782",-0.29,47.330,80,-.193,.083,.480,76.931,80,27,0,6,,-2,,1,,2019
39,Russell Knox,72,"5,058",19.524,"39,332",136,661,"1,003",895,"1,296",-0.25,-10.397,59,.013,.585,.129,32.441,59,22,0,2,0,,,,,2019
40,Matt Fitzpatrick,51,"3,621",- 24.217,"27,064",94,471,713,587,918,-0.29,-1.986,37,.338,.409,.194,32.836,37,,,,,,,1,,2019
41,Adam Hadwin,82,"5,759",25.699,"43,101",148,776,"1,145",997,"1,476",-0.30,15.644,62,.310,.008,-.227,21.265,62,24,0,5,0,,,1,,2019
42,Denny McCarthy,81,"5,633",81.248,"47,107",162,744,"1,130",962,"1,458",-0.33,63.890,69,.061,-.448,.149,47.418,69,28,0,2,0,,,,,2019
43,Bud Cauley,82,"5,726",61.040,"48,110",164,725,"1,146",992,"1,476",-0.31,-3.883,74,-.163,.196,.577,41.267,74,25,0,2,0,,,,,2019
44,Abraham Ancer,88,"6,160",51.033,"46,923",160,865,"1,232","1,058","1,584",-0.29,-4.642,71,.575,.011,-.005,36.570,71,27,0,4,,-4,,1,,2019
45,Tyrrell Hatton,58,"4,113",- 19.091,"29,655",100,510,810,692,"1,044",-0.28,-8.063,42,.176,.218,.286,20.522,42,17,0,3,0,,,,,2019
46,Graeme McDowell,71,"5,000",11.943,"38,314",134,620,989,828,"1,278",-0.28,36.555,50,-.426,-.016,.096,19.255,50,20,1,3,0,,1,,,2019
47,Wyndham Clark,85,"5,934",66.594,"53,004",170,668,"1,185","1,009","1,530",-0.34,46.752,73,.084,-.572,.261,30.158,73,27,0,3,0,,,,,2019
48,Joaquin Niemann,96,"6,719",60.642,"55,474",184,827,"1,340","1,176","1,728",-0.28,-13.561,80,.338,.484,.018,53.636,80,28,0,4,0,,,,,2019
49,Talor Gooch,54,"3,773",40.952,"32,119",108,443,755,680,972,-0.29,5.336,48,-.240,.604,-.104,17.782,48,17,0,2,0,,,,1,2019
50,J.T. Poston,96,"6,722",58.773,"56,411",192,844,"1,342","1,155","1,728",-0.29,18.687,88,.032,.223,.038,44.518,88,29,1,3,0,,1,,,2019
51,Zach Johnson,64,"4,512",9.213,"36,799",128,594,892,721,"1,152",-0.27,-4.633,53,.053,.398,.095,24.331,53,,,,,,,,,2019
52,Andrew Putnam,76,"5,342",26.945,"36,034",128,647,"1,067",902,"1,368",-0.32,39.180,56,-.639,.414,.061,30.013,56,23,0,3,0,,,1,1,2019
53,Billy Horschel,92,"6,464",35.242,"46,683",160,836,"1,292","1,120","1,656",-0.28,36.051,69,.145,.147,.014,57.228,69,26,0,4,0,,,,,2019
54,Michael Thompson,71,"4,981",35.989,"40,948",142,685,991,840,"1,278",-0.29,22.056,65,-.045,.018,.113,27.718,65,22,0,4,0,,,,,2019
55,Ryan Palmer,66,"4,620",44.792,"34,637",116,560,923,812,"1,188",-0.30,2.076,51,.255,.395,-.216,24.200,51,21,1,6,0,,1,,1,2019
56,Nate Lashley,68,"4,757",50.050,"39,385",136,620,951,826,"1,224",-0.30,16.727,55,-.247,.487,-.021,28.759,55,21,1,2,0,,1,,,2019
57,Nick Taylor,93,"6,513",61.776,"54,327",186,800,"1,297","1,126","1,674",-0.29,28.376,86,.135,-.051,.038,38.841,86,28,0,1,0,,,,,2019
58,Bubba Watson,58,"4,095",6.208,"36,142",116,472,812,697,"1,044",-0.27,-17.180,50,.743,-.052,-.067,14.026,50,19,0,3,0,,,,,2019
59,Harold Varner III,82,"5,748",50.743,"49,521",164,686,"1,144",992,"1,476",-0.28,-14.976,74,.260,.093,.076,16.768,74,26,0,3,0,,,,1,2019
60,Dylan Frittelli,81,"5,672",57.728,"48,028",162,708,"1,129",995,"1,458",-0.26,-11.465,68,.272,.186,.149,29.853,68,24,1,1,0,,1,,,2019
61,Aaron Wise,69,"4,845",35.979,"41,763",138,599,970,852,"1,242",-0.33,-7.897,54,.533,-.085,.026,17.741,54,21,0,1,0,,,,,2019
62,Peter Malnati,83,"5,820",53.274,"48,510",166,632,"1,157",956,"1,494",-0.30,35.469,76,-.410,.225,.097,28.774,76,26,0,1,0,,,,,2019
63,Kevin Streelman,81,"5,693",38.767,"47,278",162,769,"1,131","1,017","1,458",-0.26,-17.312,69,.383,.479,.058,46.127,69,26,0,4,0,,,,,2019
64,Jhonattan Vegas,72,"5,054",41.076,"44,401",144,594,"1,008",898,"1,296",-0.30,-9.523,61,.753,.219,-.190,38.204,61,23,0,3,0,,,,1,2019
65,Corey Conners,86,"6,035",51.681,"51,132",172,805,"1,203","1,131","1,548",-0.25,-39.771,69,.653,.665,-.123,42.769,69,28,1,4,,-1,1,1,1,2019
66,Rafa Cabrera Bello,68,"4,810",3.032,"32,436",112,611,947,771,"1,224",-0.31,2.058,48,.180,.089,.107,20.129,48,19,0,2,0,,,,2,2019
67,Aaron Baddeley,55,"3,873",20.069,"31,496",110,444,769,627,990,-0.30,27.451,42,-.460,-.340,.460,13.162,42,18,0,3,0,,,1,,2019
68,Cameron Tringale,65,"4,548",53.708,"38,599",130,549,907,815,"1,170",-0.29,10.396,51,-.108,.327,.123,27.826,51,21,0,2,0,,,,,2019
69,Matt Jones,84,"5,889",59.077,"49,414",168,728,"1,171","1,007","1,512",-0.29,7.926,66,.304,-.148,.352,41.431,66,27,0,2,0,,,,,2019
70,Emiliano Grillo,78,"5,504",19.507,"39,033",132,744,"1,092",965,"1,404",-0.27,-34.828,55,.470,.926,-.345,22.966,55,23,0,2,0,,,1,,2019
71,Cameron Smith,74,"5,224",16.257,"36,485",124,615,"1,036",848,"1,332",-0.29,8.323,53,-.123,.004,.286,17.174,53,23,0,3,0,,,,,2019
72,Adam Schenk,100,"7,008",73.686,"60,155",200,856,"1,397","1,235","1,800",-0.30,27.941,82,.080,.142,-.075,39.948,82,31,0,3,0,,,,,2019
73,Danny Willett,63,"4,466",- 3.811,"34,669",118,523,878,751,"1,134",-0.26,-6.500,50,.108,.250,.154,19.128,50,19,0,2,0,,,,,2019
74,Johnson Wagner,58,"4,052",57.147,"32,871",116,544,811,747,"1,044",-0.29,22.959,47,-.200,-.015,-.268,.237,47,19,0,1,0,,,1,,2019
75,Keegan Bradley,82,"5,784",25.638,"44,182",148,763,"1,150","1,011","1,476",-0.26,-34.551,67,.238,.567,-.142,9.873,67,25,0,3,0,,,1,,2019
76,Martin Laird,80,"5,602",67.313,"47,816",160,706,"1,119","1,006","1,440",-0.27,1.373,73,.100,.075,.029,16.253,73,26,0,4,0,,,,,2019
77,Russell Henley,70,"4,907",54.156,"40,274",140,676,975,858,"1,260",-0.25,-18.228,61,.137,.334,-.005,10.179,61,25,0,1,0,,,1,,2019
78,Jonas Blixt,76,"5,344",42.499,"43,988",152,681,"1,059",891,"1,368",-0.29,8.329,64,-.003,-.039,.034,7.807,64,26,0,1,0,,,,,2019
79,Ryan Armour,92,"6,450",71.671,"46,694",168,947,"1,283","1,119","1,656",-0.26,14.227,75,-.103,-.002,.106,14.282,75,28,0,1,0,,,,,2019
80,Mackenzie Hughes,76,"5,345",43.953,"45,176",152,614,"1,059",893,"1,368",-0.28,-.901,66,-.068,.032,.006,-2.896,66,25,0,2,0,,,1,,2019
81,Sebastián Muñoz,80,"5,593",79.565,"47,814",160,668,"1,117",983,"1,440",-0.30,4.856,64,-.048,.054,.261,21.979,64,26,0,3,0,,,,,2019
82,Nick Watney,83,"5,824",61.402,"45,248",150,686,"1,157","1,025","1,494",-0.29,.829,69,.010,.071,.040,9.164,69,26,0,3,0,,,,,2019
83,Kiradech Aphibarnrat,62,"4,391",5.483,"31,582",108,549,868,688,"1,116",-0.28,15.167,45,-.015,-.433,.194,3.730,45,20,0,3,0,,,,1,2019
84,Sam Ryder,72,"5,034",71.670,"39,969",136,640,"1,006",881,"1,296",-0.30,25.592,60,.038,.158,-.161,27.691,60,23,0,2,0,,,,1,2019
85,Joel Dahmen,96,"6,760",49.474,"51,457",176,918,"1,340","1,153","1,728",-0.29,-7.756,76,.249,.141,-.204,6.430,76,29,0,2,0,,,1,,2019
86,Troy Merritt,61,"4,257",70.969,"33,439",114,570,858,756,"1,098",-0.32,4.773,56,-.054,.366,.041,23.591,56,21,0,4,0,,,1,,2019
87,Shawn Stefani,76,"5,324",68.787,"44,983",152,656,"1,060",957,"1,368",-0.27,-9.845,62,-.303,.421,.133,5.763,62,25,0,2,0,,,,,2019
88,Scott Brown,82,"5,767",51.740,"47,337",164,749,"1,145",982,"1,476",-0.27,4.993,68,.199,-.083,-.194,-.259,68,27,0,4,0,,,,,2019
89,Si Woo Kim,82,"5,756",62.984,"43,278",148,722,"1,147",958,"1,476",-0.32,-3.516,59,.066,-.177,.305,7.916,59,28,0,5,0,,,,1,2019
90,C.T. Pan,82,"5,786",33.189,"39,897",140,741,"1,144",947,"1,476",-0.27,-3.710,60,-.114,.054,.180,3.517,60,25,1,2,0,,1,,1,2019
91,Ryan Moore,74,"5,195",57.089,"37,251",132,781,"1,034",908,"1,332",-0.30,3.885,63,.114,.596,.055,52.055,63,22,0,2,0,,,1,1,2019
92,Francesco Molinari,54,"3,839",- 6.414,"28,870",100,505,760,618,972,-0.25,-8.870,42,.105,.040,.105,1.616,42,15,1,3,0,,1,,1,2019
