,NAME
0,Dustin Johnson
1,Justin Rose
2,Justin Thomas
3,Webb Simpson
4,Rory McIlroy
5,Tommy Fleetwood
6,Tiger Woods
7,Rickie Fowler
8,Brooks Koepka
9,Tony Finau
