,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Jordan Spieth,88,"6,080",- 13.449,"48,431",166,775,"1,232","1,075","1,584",-0.34,37.665,66,.494,.618,.471,142.131,66,25,5,15,,,5,4,1,2015
1,Jason Day,72,"4,960",19.590,"45,166",144,570,"1,019",918,"1,296",-0.36,33.407,57,.772,.461,.287,120.054,57,20,5,11,"1,510",,5,,1,2015
2,Bubba Watson,68,"4,712",.139,"40,351",128,535,946,836,"1,206",-0.33,11.875,56,1.194,.684,-.002,116.927,56,19,2,10,"2,120",,2,3,2,2015
3,Henrik Stenson,60,"4,179",- 17.760,"33,202",112,590,844,794,"1,080",-0.26,19.205,44,.448,1.244,.082,97.245,44,16,0,8,"1,493",,,4,,2015
4,Dustin Johnson,72,"5,027",- 16.865,"45,109",142,562,"1,012",869,"1,296",-0.34,6.932,54,.960,.579,-.212,78.552,54,21,1,11,"2,440",,1,2,,2015
5,Justin Rose,66,"4,614",- 10.884,"37,636",124,594,930,838,"1,188",-0.31,1.123,49,.550,.692,.228,73.180,49,20,1,8,"2,565",,1,3,1,2015
6,Zach Johnson,87,"6,061",7.472,"48,615",172,873,"1,226","1,074","1,566",-0.29,2.778,70,.240,.605,.236,78.417,70,25,1,10,"2,350",,1,,1,2015
7,Will Wilcox,54,"3,741",28.416,"29,064",98,516,748,705,972,-0.28,13.220,41,.662,.144,.058,48.615,41,17,0,4,"6,321",,,1,,2015
8,Paul Casey,82,"5,721",3.089,"46,450",156,741,"1,155","1,068","1,476",-0.27,.911,63,.392,.991,-.182,76.616,63,24,0,8,"3,168",,,2,2,2015
9,Jim Furyk,64,"4,497",- 26.922,"36,084",128,621,899,804,"1,152",-0.24,-1.252,52,.064,1.081,.513,84.986,52,19,1,7,"3,496",,1,,1,2015
10,Brooks Koepka,81,"5,666",- 7.282,"49,312",160,653,"1,139","1,013","1,458",-0.30,27.372,65,.407,.200,.052,70.245,65,23,1,8,"3,386",,1,,1,2015
11,Hideki Matsuyama,91,"6,355",9.529,"48,885",166,830,"1,272","1,121","1,620",-0.30,5.340,70,.496,.637,.254,102.473,70,25,0,9,"3,242",,,1,2,2015
12,Sergio Garcia,56,"3,937",- 19.340,"28,802",96,471,792,681,"1,008",-0.29,-.784,36,.442,.468,.157,37.624,36,15,0,4,"5,793",,,2,,2015
13,Matt Kuchar,94,"6,568",15.746,"53,658",186,834,"1,319","1,126","1,692",-0.31,24.322,77,.136,.202,.479,87.212,77,25,0,7,"3,270",,,1,1,2015
14,Ryan Palmer,77,"5,410",- 12.171,"43,955",144,603,"1,066",914,"1,368",-0.28,7.937,54,.356,.529,-.072,51.852,54,22,0,5,"5,584",,,1,,2015
15,Justin Thomas,106,"7,379",52.153,"63,667",210,859,"1,475","1,315","1,908",-0.31,4.012,96,.352,.385,.188,92.893,96,30,0,7,"5,472",,,,,2015
16,Kevin Na,95,"6,667",- 5.513,"48,732",174,832,"1,331","1,104","1,710",-0.29,16.544,71,-.329,.381,.660,67.027,71,27,0,7,"3,390",,,1,,2015
17,Robert Streb,110,"7,685",29.255,"65,357",220,923,"1,552","1,369","1,980",-0.29,36.561,96,.309,.175,.228,104.938,96,30,1,9,"3,258",,1,1,,2015
18,Brandt Snedeker,95,"6,660",4.975,"51,920",180,808,"1,325","1,111","1,710",-0.29,44.074,75,-.126,-.199,.344,45.544,75,27,1,8,"3,384",,1,1,,2015
19,Louis Oosthuizen,63,"4,425",- 4.934,"35,261",118,523,874,762,"1,116",-0.27,-10.341,47,.339,.397,.088,28.413,47,20,0,6,"3,624",,,2,,2015
20,Rickie Fowler,72,"5,064",- 7.406,"40,367",136,622,"1,002",841,"1,278",-0.31,17.616,57,.123,.590,.066,62.024,57,21,2,7,"1,962",,2,1,1,2015
21,Jason Bohn,95,"6,623",49.308,"52,655",190,947,"1,323","1,178","1,710",-0.30,20.775,87,.019,.561,-.042,67.614,87,27,0,6,"5,597",,,2,,2015
22,Harris English,102,"7,139",24.957,"60,286",202,835,"1,427","1,231","1,836",-0.28,49.298,88,.009,.207,.000,68.373,88,29,0,3,"3,440",,,1,1,2015
23,Jimmy Walker,86,"6,047",- 3.991,"48,854",162,633,"1,212","1,023","1,548",-0.31,44.265,64,-.161,.334,.068,59.711,64,24,2,6,"3,242",,2,2,,2015
24,Tony Finau,106,"7,423",26.756,"64,897",210,802,"1,477","1,290","1,908",-0.31,-.533,92,.383,.224,.027,57.797,92,31,0,5,"5,677",,,,,2015
25,Patrick Reed,100,"7,013",16.190,"53,893",184,762,"1,391","1,148","1,782",-0.30,29.919,76,-.071,.263,.273,65.248,76,27,1,4,"3,144",,1,1,,2015
26,Webb Simpson,78,"5,470",14.204,"45,146",156,745,"1,098",952,"1,404",-0.25,-41.374,64,.225,.582,.539,44.777,64,22,0,5,"5,757",,,1,,2015
27,Kevin Kisner,104,"7,300",15.824,"59,862",208,972,"1,454","1,240","1,872",-0.26,22.516,94,.316,.141,-.068,59.060,94,30,0,6,"3,356",,,3,,2015
28,Jerry Kelly,79,"5,520",40.268,"43,515",157,775,"1,100",938,"1,422",-0.28,16.490,66,.073,-.052,.166,28.793,66,24,0,4,"6,004",,,,,2015
29,Daniel Summerhays,101,"7,084",26.088,"57,365",202,870,"1,408","1,193","1,818",-0.30,57.333,89,-.111,.194,-.186,48.137,89,29,0,5,"5,469",,,,,2015
30,Danny Lee,120,"8,409",38.814,"65,103",230,"1,070","1,674","1,419","2,160",-0.30,37.446,100,-.301,.718,-.062,72.890,100,36,1,8,"2,677",,1,1,2,2015
31,Brendan Steele,84,"5,892",22.690,"50,277",166,717,"1,173","1,036","1,512",-0.30,-3.547,76,.363,.600,.041,72.798,76,24,0,4,"5,766",,,1,,2015
32,Russell Knox,96,"6,727",33.413,"54,605",192,910,"1,343","1,224","1,728",-0.25,-1.826,87,.098,.622,.107,70.153,87,28,0,3,"5,535",,,,2,2015
33,Ian Poulter,65,"4,599",- 21.631,"34,978",122,569,895,757,"1,152",-0.27,10.820,48,-.054,.235,.147,26.602,48,19,0,4,"5,989",,,,1,2015
34,Shawn Stefani,94,"6,594",25.574,"55,704",188,813,"1,310","1,164","1,692",-0.29,6.539,88,.332,.283,-.192,43.779,88,26,0,3,"5,799",,,1,,2015
35,Rory Sabbatini,81,"5,670",35.259,"44,074",152,679,"1,126",989,"1,458",-0.27,-6.993,66,.094,.375,.097,30.396,66,25,0,4,"5,906",,,,,2015
36,Keegan Bradley,84,"5,915",2.775,"48,362",158,762,"1,175","1,021","1,512",-0.28,-4.473,64,.436,.389,.263,65.156,64,24,0,3,"5,867",,,,,2015
37,Adam Scott,48,"3,401",- 19.095,"27,425",88,403,664,589,846,-0.26,-12.662,32,.682,.114,-.195,6.577,32,15,0,3,"6,385",,,,,2015
38,Francesco Molinari,53,"3,738",- 3.722,"29,849",106,572,744,678,954,-0.22,-10.948,43,.324,.572,-.037,25.981,43,16,0,2,"6,412",,,,1,2015
39,George McNeill,93,"6,532",22.429,"53,225",186,832,"1,298","1,112","1,674",-0.27,18.879,89,-.223,.645,-.071,50.107,89,27,0,1,"5,884",,,,,2015
40,Lee Westwood,52,"3,692",- 26.822,"26,404",88,437,732,622,936,-0.28,19.046,32,.094,.292,-.102,28.112,32,15,0,1,"6,394",,,,,2015
41,Brendon Todd,93,"6,546",13.549,"48,638",176,918,"1,307","1,096","1,674",-0.28,44.219,76,-.168,.136,.280,63.067,76,27,0,4,"5,691",,,,,2015
42,Luke Donald,71,"5,025",- 15.622,"37,123",134,591,997,838,"1,278",-0.24,15.579,54,-.793,.573,.514,31.525,54,20,0,2,"6,188",,,,,2015
43,Marc Leishman,70,"4,945",- 5.166,"35,962",122,534,971,815,"1,242",-0.27,-1.093,54,.021,.199,.102,16.304,54,23,0,4,"6,116",,,1,,2015
44,J.B. Holmes,85,"5,995",4.362,"47,731",154,647,"1,197",974,"1,530",-0.33,-.296,66,.427,.253,.268,62.313,66,25,1,7,"3,182",,1,2,,2015
45,Russell Henley,84,"5,919",9.820,"46,941",158,763,"1,185","1,014","1,512",-0.29,38.773,67,.343,-.269,-.191,30.964,67,24,0,4,"5,898",,,,1,2015
46,Daniel Berger,97,"6,806",40.320,"58,001",192,823,"1,355","1,202","1,746",-0.27,-16.030,83,.372,.526,-.217,40.570,83,31,0,6,"2,922",,,2,,2015
47,Phil Mickelson,70,"4,960",- 19.059,"42,068",140,552,986,775,"1,260",-0.31,14.421,55,.072,.022,.225,31.955,55,19,0,3,"5,879",,,1,1,2015
48,Chad Campbell,97,"6,821",27.626,"55,327",194,889,"1,352","1,198","1,746",-0.24,-4.074,91,.130,.192,.159,39.742,91,30,0,2,"6,300",,,,,2015
49,Charley Hoffman,94,"6,625",12.664,"55,596",186,764,"1,317","1,120","1,692",-0.30,4.973,76,.470,.137,-.338,25.442,76,28,1,7,"2,808",,1,2,1,2015
50,Patrick Rodgers,53,"3,715",27.815,"31,997",104,421,739,637,954,-0.30,-.153,46,.680,-.456,-.090,5.956,46,,,,,,,1,1,2015
51,Jason Dufner,73,"5,171",- 14.757,"36,692",128,693,"1,022",907,"1,314",-0.24,-33.598,48,.242,.399,.281,10.634,48,21,0,2,"6,240",,,,,2015
52,Brendon de Jonge,106,"7,451",37.009,"57,635",202,969,"1,475","1,288","1,908",-0.28,-.684,92,.276,.196,-.152,28.734,92,31,0,3,"5,742",,,1,,2015
53,Brian Harman,90,"6,341",17.268,"51,255",178,813,"1,263","1,080","1,620",-0.27,18.390,78,.322,-.176,.030,32.185,78,29,0,3,"5,835",,,,1,2015
54,William McGirt,103,"7,233",43.591,"57,762",206,976,"1,438","1,258","1,854",-0.25,5.816,97,.087,.060,.248,44.167,97,30,0,1,"6,015",,,,,2015
55,Jason Kokrak,88,"6,192",25.521,"53,789",176,691,"1,225","1,066","1,584",-0.27,-.993,80,.464,-.014,-.144,23.479,80,28,0,2,"6,356",,,,,2015
56,Pat Perez,96,"6,743",40.892,"52,364",184,881,"1,341","1,173","1,728",-0.29,30.224,83,-.010,.187,.045,48.638,83,26,0,2,"5,683",,,,,2015
57,Bill Haas,86,"6,072",5.816,"47,675",164,764,"1,206","1,065","1,548",-0.24,-16.243,71,.140,.422,.126,32.670,71,25,1,5,"3,420",,1,,,2015
58,Kevin Chappell,86,"6,064",13.755,"48,133",164,767,"1,201","1,022","1,548",-0.28,12.628,75,.160,-.105,.148,27.785,75,26,0,2,"5,784",,,,,2015
59,Nick Watney,91,"6,404",27.855,"52,919",180,772,"1,264","1,103","1,638",-0.26,-32.658,81,.310,.238,.112,20.876,81,28,0,3,"5,835",,,1,,2015
60,Chad Collins,79,"5,543",40.777,"43,438",156,702,"1,100",940,"1,422",-0.25,.778,63,-.250,.246,.205,13.454,63,24,0,1,"6,466",,,,,2015
61,Scott Piercy,90,"6,331",30.879,"53,410",180,746,"1,258","1,081","1,620",-0.28,.534,83,.270,.224,-.172,27.272,83,28,1,5,"3,368",,1,1,1,2015
62,Colt Knost,86,"6,035",44.985,"47,030",170,852,"1,196","1,044","1,548",-0.28,25.734,74,-.084,.017,-.085,14.488,74,29,0,4,"6,256",,,,,2015
63,Zac Blair,104,"7,313",41.299,"56,528",207,984,"1,449","1,227","1,872",-0.25,46.359,88,-.299,-.188,.131,15.011,88,34,0,2,"5,844",,,,,2015
64,Jim Herman,88,"6,182",41.232,"51,121",174,824,"1,228","1,160","1,584",-0.23,-2.341,77,.467,.285,-.345,28.983,77,27,0,2,"6,130",,,,,2015
65,Graham DeLaet,65,"4,577",19.813,"38,236",128,597,912,809,"1,170",-0.27,-.636,54,.027,.328,-.056,15.487,54,22,0,3,"6,425",,,,,2015
66,Hudson Swafford,95,"6,675",44.506,"56,192",188,838,"1,323","1,172","1,710",-0.30,29.896,83,.273,.109,-.404,28.065,83,30,0,1,"6,194",,,,,2015
67,John Peterson,84,"5,912",29.772,"48,402",168,790,"1,170","1,033","1,512",-0.25,-14.163,77,.333,.276,-.175,19.311,77,25,0,,"6,382",,,,,2015
68,Vijay Singh,78,"5,496",23.347,"44,760",154,651,"1,084",930,"1,404",-0.25,-35.238,69,.152,.420,.241,20.808,69,23,0,1,"6,462",,,,,2015
69,Martin Laird,77,"5,427",22.445,"45,672",152,627,"1,071",919,"1,386",-0.27,7.320,73,-.078,.302,-.019,22.332,73,24,0,3,"6,342",,,,1,2015
70,Stewart Cink,77,"5,419",30.615,"42,869",146,620,"1,081","1,011","1,386",-0.23,6.712,66,.087,.561,-.282,30.900,66,23,0,1,"6,358",,,,,2015
71,Boo Weekley,79,"5,563",28.242,"43,223",148,696,"1,100",963,"1,422",-0.26,-16.467,67,.548,.108,.015,28.496,67,24,0,6,"6,140",,,1,1,2015
72,Bryce Molder,87,"6,116",41.753,"48,359",174,809,"1,211","1,025","1,566",-0.27,39.105,77,-.294,-.181,.156,14.528,77,26,0,2,"6,095",,,,1,2015
73,Scott Brown,97,"6,828",39.329,"55,336",192,848,"1,351","1,138","1,746",-0.28,-2.495,81,.296,.031,-.111,14.987,81,30,0,3,"6,274",,,,1,2015
74,David Lingmerth,90,"6,339",32.969,"49,223",170,828,"1,264","1,052","1,620",-0.28,2.899,74,.379,.013,-.025,29.985,74,28,1,4,"5,583",,1,,1,2015
75,Johnson Wagner,68,"4,779",35.908,"38,958",134,590,950,844,"1,224",-0.25,11.571,57,-.013,.106,-.201,5.419,57,23,0,3,"6,237",,,1,,2015
76,Matt Jones,86,"6,057",32.825,"45,585",154,714,"1,196",980,"1,530",-0.31,26.870,67,.249,-.319,.333,44.474,67,25,0,4,"5,525",,,,2,2015
77,Tom Hoge,79,"5,559",35.161,"45,576",156,649,"1,103",939,"1,422",-0.29,.296,65,.035,.456,-.080,26.965,65,26,0,2,"6,529",,,,,2015
78,Ryan Moore,78,"5,513",11.665,"39,568",140,767,"1,095",916,"1,404",-0.30,9.741,61,.071,.246,.102,35.241,61,24,1,4,"5,596",,1,,,2015
79,Jonathan Byrd,65,"4,561",42.918,"34,782",121,593,904,788,"1,170",-0.24,4.295,51,-.145,-.303,.596,11.854,51,22,0,,"6,635",,,,,2015
80,Steven Bowditch,103,"7,245",51.042,"59,213",196,782,"1,447","1,176","1,854",-0.29,12.687,88,-.053,.056,.253,35.219,88,32,1,2,"3,346",,1,1,,2015
81,Jeff Overton,92,"6,494",22.945,"49,554",174,753,"1,279","1,088","1,656",-0.27,7.851,75,-.036,.041,-.018,6.825,75,30,0,1,"6,506",,,,,2015
82,Spencer Levin,97,"6,838",33.233,"54,461",192,932,"1,349","1,192","1,746",-0.23,-5.408,83,.204,.181,-.250,5.794,83,31,0,1,"6,206",,,,,2015
83,David Hearn,97,"6,839",32.781,"54,445",194,870,"1,356","1,187","1,746",-0.27,30.442,85,-.216,.243,-.029,30.278,85,30,0,4,"5,818",,,1,1,2015
84,Jon Curran,79,"5,575",22.069,"43,209",158,740,"1,097",944,"1,422",-0.24,-1.848,65,-.406,.077,.270,-5.705,65,28,0,5,"6,430",,,1,,2015
85,Kyle Reifers,92,"6,481",37.562,"52,407",182,789,"1,281","1,110","1,656",-0.25,2.855,80,.108,-.084,.076,10.903,80,31,0,2,"6,166",,,1,,2015
86,Carl Pettersson,106,"7,483",28.810,"61,245",210,874,"1,480","1,202","1,908",-0.29,32.204,96,-.038,.035,-.097,22.652,96,32,0,3,"6,161",,,,,2015
87,Charles Howell III,105,"7,409",32.575,"62,968",208,767,"1,463","1,296","1,890",-0.26,-21.395,99,.340,.199,.059,37.878,99,30,0,3,"6,178",,,,,2015
88,James Hahn,94,"6,638",26.178,"52,523",178,787,"1,314","1,119","1,692",-0.27,3.736,78,.106,.135,.065,27.682,78,28,1,2,"5,768",,1,,,2015
89,Martin Flores,91,"6,416",37.603,"53,430",180,720,"1,267","1,119","1,638",-0.24,-17.069,79,.349,-.142,.047,3.038,79,30,0,,"6,625",,,,,2015
90,Cameron Tringale,96,"6,812",- 3.651,"54,114",192,922,"1,346","1,116","1,728",-0.25,9.874,79,-.074,-.054,.373,29.152,79,28,0,3,"5,580",,,1,,2015
91,Ben Martin,90,"6,361",24.457,"51,851",180,828,"1,272","1,113","1,620",-0.27,9.748,77,-.016,.268,-.100,21.530,77,27,1,5,"5,553",,1,,,2015
92,Chris Kirk,73,"5,172",7.973,"39,439",138,634,"1,023",848,"1,314",-0.29,3.632,56,-.150,.302,.198,23.201,56,21,1,3,"5,679",,1,,,2015
93,Gary Woodland,74,"5,265",- 12.312,"39,709",130,584,"1,039",889,"1,332",-0.26,4.173,54,.177,.227,-.284,10.685,54,24,0,4,"5,670",,,2,1,2015
94,Morgan Hoffmann,85,"6,023",10.946,"47,382",160,653,"1,191",935,"1,530",-0.31,15.981,69,-.032,-.347,.343,13.547,69,26,0,2,"6,221",,,,,2015
95,Mark Wilson,85,"6,001",33.219,"47,456",170,764,"1,184","1,038","1,530",-0.24,-5.295,81,-.299,.013,.377,2.118,81,28,0,3,"6,289",,,,,2015
96,Adam Hadwin,93,"6,577",27.998,"53,029",184,846,"1,293","1,114","1,674",-0.26,19.029,81,.088,-.183,.044,14.861,81,30,0,3,"6,386",,,,,2015
97,Sean O'Hair,86,"6,067",41.548,"50,792",172,727,"1,197",996,"1,548",-0.29,13.657,81,.153,-.284,.142,14.606,81,26,0,3,"5,677",,,1,,2015
98,Scott Langley,92,"6,504",30.952,"51,323",183,793,"1,281","1,071","1,656",-0.27,1.424,79,-.128,.056,.180,9.981,79,28,0,,"6,522",,,,,2015
99,Sangmoon Bae,98,"6,950",11.502,"53,911",186,823,"1,371","1,110","1,764",-0.28,22.865,88,.251,-.276,-.176,5.186,88,30,1,5,"3,410",,1,,,2015
100,John Huh,101,"7,132",42.752,"56,527",202,975,"1,404","1,179","1,818",-0.26,24.869,89,-.041,-.120,-.030,7.865,89,31,0,,"6,405",,,,,2015
101,Cameron Percy,70,"4,933",39.709,"40,016",138,588,975,854,"1,260",-0.26,-8.262,58,.128,-.002,.037,1.179,58,23,0,1,"6,609",,,,,2015
102,Billy Hurley III,79,"5,589",23.367,"40,778",150,723,"1,097",928,"1,422",-0.24,19.597,63,-.635,.114,.098,-7.083,63,28,0,1,"6,550",,,,,2015
103,Billy Horschel,96,"6,800",20.792,"51,924",176,845,"1,325","1,173","1,692",-0.27,17.841,73,.366,.137,-.301,32.594,73,28,0,2,"5,919",,,,1,2015
104,Camilo Villegas,83,"5,899",- .401,"48,512",166,631,"1,166",942,"1,494",-0.26,14.447,74,-.296,.133,.143,13.034,74,27,0,,"6,213",,,,,2015
105,Steve Wheatcroft,83,"5,853",45.953,"47,276",164,728,"1,155",965,"1,494",-0.30,24.849,72,.148,-.450,-.082,-2.754,72,28,0,2,"6,434",,,1,,2015
106,Alex Prugh,80,"5,649",38.135,"46,642",158,691,"1,114","1,010","1,440",-0.26,-3.925,72,.319,-.085,-.183,-.254,72,27,0,2,"6,537",,,,,2015
107,John Senden,75,"5,334",- 2.262,"38,303",132,704,"1,057",908,"1,350",-0.27,-3.103,51,.331,-.171,-.017,4.159,51,24,0,3,"6,122",,,,,2015
108,David Toms,58,"4,099",24.322,"31,315",116,602,808,675,"1,044",-0.24,-5.604,55,-.041,-.028,.248,4.198,55,21,0,2,"6,587",,,,,2015
109,Charl Schwartzel,63,"4,497",- 18.134,"32,438",108,540,888,737,"1,134",-0.26,-22.769,41,.669,-.132,.092,3.011,41,19,0,3,"6,386",,,,1,2015
110,Steven Alker,60,"4,219",46.629,"33,396",120,597,836,719,"1,080",-0.26,-7.294,50,-.129,-.114,.406,.838,50,22,0,,"6,754",,,,,2015
111,Whee Kim,69,"4,855",50.704,"38,976",138,581,962,847,"1,242",-0.26,-5.235,56,-.201,.324,-.043,-.726,56,23,0,2,"6,577",,,,1,2015
112,Carlos Ortiz,96,"6,788",37.366,"54,309",182,800,"1,337","1,155","1,728",-0.29,14.293,83,.355,-.238,-.166,10.287,83,30,0,1,"6,259",,,,,2015
113,Jamie Donaldson,47,"3,366",- 24.191,"25,363",86,399,664,540,846,-0.25,11.182,32,.095,-.150,.046,10.915,32,16,0,2,"6,523",,,,,2015
114,Scott Pinckney,88,"6,220",37.088,"50,510",174,746,"1,224","1,071","1,584",-0.26,21.766,74,.123,-.409,-.140,-9.729,74,27,0,3,"6,209",,,1,,2015
115,Alex Cejka,92,"6,497",45.773,"52,119",184,817,"1,281","1,088","1,656",-0.27,-18.331,79,-.233,.113,.135,-17.158,79,30,1,1,"6,111",,1,,,2015
116,Hunter Mahan,84,"5,957",17.424,"46,626",158,681,"1,156",971,"1,476",-0.26,25.348,65,-.023,-.249,.003,7.805,65,24,0,4,"5,762",,,,1,2015
117,Blayne Barber,74,"5,238",25.382,"42,718",148,657,"1,031",885,"1,332",-0.27,19.696,63,.208,-.352,-.154,.970,63,26,0,4,"6,590",,,,,2015
118,Chez Reavie,56,"3,954",30.195,"31,494",110,560,779,702,"1,008",-0.25,-13.090,50,.384,.298,-.340,4.021,50,19,0,,"6,702",,,,,2015
119,Michael Putnam,85,"6,015",33.272,"46,210",160,726,"1,181","1,073","1,530",-0.22,-35.781,68,-.025,.420,-.022,-10.399,68,28,0,,"6,563",,,,,2015
120,Chris Stroud,84,"5,943",37.302,"45,275",160,754,"1,174",993,"1,512",-0.27,-11.950,68,-.249,.132,.295,.154,68,28,0,2,"6,439",,,,,2015
121,Fabián Gómez,83,"5,886",24.207,"46,448",164,705,"1,158",949,"1,494",-0.27,4.288,69,-.216,-.057,-.113,-22.352,69,26,1,2,"5,901",,1,,,2015
122,Luke Guthrie,82,"5,815",24.274,"43,727",154,671,"1,140",941,"1,476",-0.28,7.472,68,-.314,.020,.147,-2.504,68,27,0,1,"6,597",,,,,2015
123,Aaron Baddeley,74,"5,236",34.105,"42,941",146,520,"1,034",832,"1,332",-0.30,47.649,66,-.596,-.719,.370,-14.727,66,25,0,1,"6,634",,,,,2015
124,Mark Hubbard,77,"5,435",49.463,"42,325",152,711,"1,072",926,"1,386",-0.25,-6.226,61,-.060,-.350,.128,-23.343,61,25,0,,"6,696",,,,,2015
125,Erik Compton,86,"6,084",41.591,"49,020",170,710,"1,197",978,"1,548",-0.28,32.862,70,-.216,-.217,.047,5.892,70,28,0,1,"6,499",,,,,2015
126,Michael Thompson,81,"5,748",21.670,"46,280",160,657,"1,128",954,"1,458",-0.26,11.506,75,-.089,-.301,.041,-14.651,75,27,0,1,"6,592",,,,1,2015
127,Jonas Blixt,74,"5,251",20.583,"37,389",130,614,"1,019",824,"1,314",-0.29,6.345,52,-.115,-.655,.209,-22.867,52,26,0,1,"6,499",,,,,2015
128,Ryo Ishikawa,88,"6,230",39.643,"48,578",168,693,"1,229","1,052","1,584",-0.28,-7.760,75,-.408,.436,.025,-3.848,75,28,0,2,"6,494",,,,,2015
129,Jason Gore,72,"5,090",41.636,"41,522",143,670,"1,005",875,"1,296",-0.27,-3.911,58,.284,.266,-.393,5.189,58,26,0,2,"6,258",,,1,,2015
130,Kevin Streelman,91,"6,438",48.670,"48,052",166,875,"1,275","1,130","1,638",-0.26,-15.978,73,.563,.005,-.216,9.713,73,27,0,2,"6,130",,,1,,2015
131,Davis Love III,51,"3,626",9.723,"27,703",94,463,713,619,918,-0.22,-14.555,42,.189,-.335,.116,-15.839,42,18,1,2,"6,235",,1,,,2015
132,Lucas Glover,79,"5,612",20.007,"46,911",158,702,"1,100","1,002","1,422",-0.22,-97.258,72,.591,.691,-.111,-13.006,72,26,0,,"6,595",,,,,2015
133,Ken Duke,89,"6,313",33.219,"48,946",176,840,"1,237","1,028","1,602",-0.25,-17.294,78,.067,.025,-.248,-29.466,78,30,0,3,"6,447",,,,,2015
