,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
165,Tyler McCumber,53,"3,761",35.686,"32,884",106,402,741,632,954,-0.26,-28.548,38,.215,.014,-.203,-27.553,38,,,,,,,,,2020
166,C.T. Pan,56,"3,988",23.696,"27,550",96,470,780,678,"1,008",-0.22,-32.990,43,-.258,.277,-.104,-36.650,43,,,,,,,,,2020
167,Zac Blair,66,"4,698",34.501,"37,077",132,578,923,754,"1,188",-0.26,5.163,50,-.405,-.443,-.065,-40.462,50,23,0,1,0,,,,,2020
168,Michael Gligic,48,"3,403",39.546,"28,645",96,399,671,580,864,-0.26,-5.966,34,.136,-.089,-.080,-7.086,34,,,,,,,,,2020
169,Chris Stroud,46,"3,256",43.735,"26,407",92,382,643,535,828,-0.29,2.104,36,-.390,-.194,-.051,-20.766,36,,,,,,,,,2020
170,Ryan Brehm,50,"3,543",46.878,"31,527",100,341,699,619,900,-0.27,-17.514,32,.346,-.327,-.293,-26.259,32,,,,,,,,,2020
171,Danny Willett,40,"2,867",5.189,"19,277",64,310,560,450,720,-0.27,7.659,32,-.004,-.336,-.188,-9.252,32,13,0,1,0,,,,,2020
172,Grayson Murray,36,"2,559",26.161,"22,591",72,273,504,414,648,-0.30,-23.877,31,.164,-.167,.083,-21.407,31,,,,,,,,,2020
173,Ben Taylor,42,"2,976",40.583,"24,798",84,340,587,521,756,-0.24,-.049,28,-.337,-.054,-.192,-16.364,28,,,,,,,,,2020
174,Robert Streb,50,"3,554",37.795,"29,369",100,406,699,606,900,-0.27,-18.343,32,-.117,-.221,-.244,-36.968,32,19,0,1,0,,,,,2020
