,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
84,Maverick McNealy,76,"5,329",51.030,"45,079",152,619,"1,063",901,"1,368",-0.30,38.465,58,.025,-.391,-.053,14.137,58,23,0,3,0,,,,,2020
85,Henrik Norlander,74,"5,190",49.076,"43,229",148,720,"1,035",941,"1,332",-0.28,-.201,56,.125,.364,-.204,15.745,56,23,0,3,0,,,,,2020
86,Bronson Burgoon,53,"3,701",51.870,"31,229",106,442,742,638,954,-0.31,16.336,45,-.067,.055,-.083,12.038,45,19,0,1,0,,,,,2020
87,Matt Jones,76,"5,344",38.078,"42,817",144,629,"1,063",906,"1,368",-0.28,3.895,64,.159,-.438,.089,-8.245,64,23,0,2,0,,,,,2020
88,Vaughn Taylor,61,"4,299",21.434,"29,852",106,576,849,700,"1,098",-0.31,12.948,44,-.043,-.155,-.155,-2.554,44,19,0,2,0,,,1,,2020
89,Tyler Duncan,83,"5,836",43.705,"47,519",166,814,"1,165","1,009","1,494",-0.27,-9.207,70,.075,.300,-.202,2.936,70,25,1,1,0,,1,,,2020
90,Harry Higgs,83,"5,844",36.707,"49,974",166,722,"1,161",987,"1,494",-0.28,5.492,69,.307,-.361,-.148,-8.444,69,25,0,2,0,,,1,,2020
91,Pat Perez,55,"3,855",41.925,"27,292",94,480,765,698,990,-0.27,10.132,40,-.163,.252,-.069,10.898,40,18,0,2,0,,,,1,2020
92,Jordan Spieth,62,"4,367",26.085,"30,162",100,450,863,696,"1,116",-0.32,.168,47,-.279,.082,.330,6.450,47,17,0,3,0,,,,,2020
93,Keegan Bradley,68,"4,801",17.560,"36,125",120,566,948,813,"1,224",-0.25,-38.906,57,.175,.351,.112,-2.559,57,20,0,,0,,,,,2020
94,Cameron Champ,70,"4,929",31.787,"45,082",140,554,983,853,"1,260",-0.29,-10.539,61,.999,-.143,-.293,23.782,61,20,1,2,,E,1,,,2020
95,Patrick Rodgers,91,"6,398",51.051,"56,147",182,674,"1,273","1,097","1,638",-0.30,49.285,75,.211,-.465,-.018,28.954,75,27,0,1,0,,,,,2020
96,Jhonattan Vegas,50,"3,505",39.158,"28,424",92,434,700,632,900,-0.28,-12.830,37,.721,-.148,-.146,2.931,37,17,0,1,0,,,,,2020
97,Brian Stuard,81,"5,679",62.709,"43,344",154,814,"1,133",949,"1,458",-0.28,7.289,64,-.245,.083,.300,16.096,64,25,0,2,0,,,,,2020
98,Aaron Wise,45,"3,162",28.455,"27,137",90,377,629,584,810,-0.24,-16.288,34,.016,.104,-.010,-12.543,34,18,0,2,0,,,,1,2020
99,Nick Watney,44,"3,094",25.689,"26,602",88,341,615,556,792,-0.28,4.743,36,-.433,.416,.162,9.953,36,17,0,1,0,,,,,2020
100,Tim Wilkinson,46,"3,224",39.064,"26,188",92,439,643,558,828,-0.27,-2.724,32,-.112,-.101,.234,-2.066,32,16,0,,0,,,,,2020
101,Max Homa,70,"4,939",26.961,"37,270",124,577,979,814,"1,260",-0.29,7.965,57,.272,.115,-.248,15.913,57,21,0,4,0,,,,1,2020
102,Seamus Power,32,"2,239",31.770,"19,488",64,262,447,400,576,-0.32,2.263,21,.124,-.358,.433,6.456,21,,,,,,,,,2020
103,Emiliano Grillo,65,"4,567",45.589,"33,713",114,599,906,837,"1,170",-0.26,-43.454,48,.250,.580,-.107,-8.745,48,23,0,3,0,,,,2,2020
104,Kyle Stanley,53,"3,717",46.418,"30,220",106,529,742,692,954,-0.25,-13.882,43,.048,.335,.014,3.183,43,20,0,1,0,,,,1,2020
105,Phil Mickelson,51,"3,599",22.481,"25,929",86,385,713,583,918,-0.31,-3.167,38,-.020,-.129,.379,5.567,38,16,0,2,0,,,1,1,2020
106,Chez Reavie,77,"5,428",42.307,"36,976",130,751,"1,077",932,"1,386",-0.25,-16.581,57,-.107,.440,.237,15.868,57,22,0,2,0,,,,,2020
107,Luke List,69,"4,860",42.338,"40,008",130,555,966,863,"1,242",-0.27,-29.741,59,.387,.300,.118,17.777,59,22,0,1,0,,,,,2020
108,Xinjun Zhang,77,"5,436",35.452,"42,894",146,641,"1,077",915,"1,386",-0.29,5.153,59,.104,.005,.063,15.331,59,25,0,3,0,,,,,2020
109,Charley Hoffman,59,"4,149",43.531,"32,617",110,469,825,726,"1,062",-0.32,4.087,48,-.032,.280,-.034,14.384,48,20,0,2,0,,,,,2020
110,Michael Thompson,62,"4,371",34.753,"35,759",124,567,867,725,"1,116",-0.27,10.137,56,-.187,-.127,-.040,-9.695,56,20,1,2,0,,1,,,2020
111,Cameron Percy,45,"3,162",36.263,"26,553",90,373,630,564,810,-0.26,-.909,33,-.078,.482,-.264,3.715,33,17,0,1,0,,,,,2020
112,Sam Ryder,70,"4,922",54.379,"41,682",140,600,980,836,"1,260",-0.28,-1.966,56,-.033,.154,-.099,-.722,56,25,0,2,0,,,,1,2020
113,Ryan Armour,58,"4,068",55.344,"32,959",116,599,811,709,"1,044",-0.28,-18.804,45,.020,.044,.160,-8.700,45,21,0,3,0,,,,,2020
114,Mark Anderson,47,"3,319",22.480,"27,549",94,391,657,565,846,-0.23,.998,37,-.123,.192,-.171,-2.775,37,,,,,,,,,2020
115,Sepp Straka,70,"4,943",34.132,"42,381",140,590,980,844,"1,260",-0.27,15.627,62,.285,.119,-.288,22.832,62,25,0,3,0,,,,,2020
116,Branden Grace,41,"2,880",35.423,"21,999",74,319,573,505,738,-0.26,-11.623,33,-.181,.501,.085,1.746,33,,,,,,,,,2020
117,Lucas Glover,67,"4,724",41.051,"33,181",110,603,933,829,"1,206",-0.27,-17.783,50,.327,.400,-.286,4.231,50,21,0,1,0,,,,,2020
118,Jason Dufner,62,"4,390",21.855,"35,493",124,576,867,757,"1,116",-0.22,-38.160,56,.047,.472,.167,.243,56,,,,,,,,,2020
119,Troy Merritt,68,"4,791",48.244,"35,012",120,611,947,814,"1,224",-0.28,25.869,55,-.074,-.323,-.238,-9.112,55,22,0,2,0,,,1,,2020
120,Chris Baker,49,"3,454",33.312,"28,368",98,476,685,618,882,-0.24,-15.286,33,.211,.238,-.105,-3.945,33,,,,,,,,,2020
121,Chase Seiffert,54,"3,806",37.468,"31,462",108,472,755,662,972,-0.28,10.792,36,.087,.043,-.233,7.066,36,18,0,1,0,,,,,2020
122,Marc Leishman,61,"4,343",- .672,"31,359",106,441,850,675,"1,098",-0.27,-13.496,52,-.202,.366,-.143,-12.432,52,18,1,3,,-1,1,1,1,2020
123,Stewart Cink,51,"3,621",9.639,"30,163",102,402,713,624,918,-0.27,5.441,45,-.118,.219,-.120,4.566,45,14,0,1,0,,,,,2020
124,Bo Hoag,67,"4,718",51.923,"39,488",134,592,937,844,"1,206",-0.25,5.988,49,-.143,-.295,-.015,-16.246,49,22,0,1,0,,,,,2020
125,Matt Wallace,44,"3,129",4.052,"24,138",80,327,616,504,792,-0.28,1.073,40,.158,-.554,.401,1.252,40,13,0,1,0,,,,,2020
126,Chesson Hadley,58,"4,078",53.208,"31,969",108,541,811,733,"1,044",-0.30,-2.989,46,.099,.437,-.195,12.677,46,19,0,,0,,,,,2020
127,Andrew Landry,63,"4,453",34.367,"36,505",126,579,881,727,"1,134",-0.26,-19.116,56,.189,-.169,-.215,-30.005,56,21,1,1,0,,1,,,2020
128,Peter Uihlein,43,"3,016",47.101,"25,951",86,285,601,526,774,-0.30,11.955,33,-.724,-.083,.290,-5.093,33,,,,,,,,,2020
