,NAME
0,Justin Thomas
1,Bryson DeChambeau
2,Russell Henley
3,Joaquin Niemann
4,Xander Schauffele
5,Webb Simpson
6,Viktor Hovland
7,Jon Rahm
8,Dustin Johnson
9,Cameron Tringale
