,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Jordan Spieth,74,"5,104",- 9.478,"43,748",148,623,"1,039",937,"1,332",-0.34,21.067,64,.318,.904,.422,126.278,64,22,3,11,0,,3,3,2,2017
1,Rickie Fowler,72,"5,001",- 39.192,"40,809",136,652,"1,008",877,"1,296",-0.32,52.270,59,.457,.521,.401,133.630,59,20,1,10,"2,224",,1,2,2,2017
2,Marc Leishman,86,"5,986",- 19.360,"49,027",164,701,"1,204","1,044","1,548",-0.29,25.965,69,.360,.503,.345,109.284,69,24,2,7,"1,337",,2,,1,2017
3,Justin Thomas,75,"5,213",- 5.066,"41,488",134,575,"1,052",904,"1,350",-0.36,20.243,61,.441,.703,.315,109.213,61,24,5,11,340,,5,,,2017
4,Hideki Matsuyama,72,"5,008",- 5.035,"38,831",128,600,"1,012",898,"1,296",-0.33,-10.534,55,.593,.723,.389,83.226,55,21,3,7,"2,363",,3,3,,2017
5,Dustin Johnson,66,"4,595",- 7.010,"39,025",124,528,927,824,"1,188",-0.30,5.500,55,1.083,.649,.194,111.476,55,19,4,8,691,,4,1,1,2017
6,Paul Casey,86,"5,999",- 20.277,"46,398",156,773,"1,204","1,083","1,548",-0.27,2.810,67,.344,.964,.187,102.992,67,23,0,8,"3,276",,,,1,2017
7,Rory McIlroy,48,"3,367",- 29.609,"27,917",88,370,672,567,864,-0.28,-10.947,36,.965,.322,.095,38.804,36,14,0,6,"4,520",,,,,2017
8,Jon Rahm,79,"5,507",- 8.878,"48,282",158,653,"1,105",967,"1,422",-0.30,21.496,62,.959,.486,.028,112.806,62,22,1,10,"2,107",,1,2,2,2017
9,Sergio Garcia,58,"4,061",- 22.528,"30,172",100,504,812,721,"1,044",-0.26,-12.868,42,.838,.309,.220,44.526,42,16,1,2,"4,041",,1,,,2017
