,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
0,Steve Stricker,47,"3,252",- 14.042,"26,658",94,467,661,602,846,-0.30,25.185,35,.311,.567,.596,76.771,35,13,0,8,"2,100",,,4,,2013
1,Tiger Woods,60,"4,193",- 56.376,"35,187",120,525,840,730,"1,080",-0.31,18.333,43,-.142,1.533,.247,88.731,43,16,5,8,"2,007",,5,1,,2013
2,Justin Rose,60,"4,198",- 44.511,"35,301",119,534,840,744,"1,080",-0.26,-8.662,46,.459,.961,.491,79.269,46,17,1,7,"3,450",,1,2,,2013
3,Henrik Stenson,64,"4,476",- 44.104,"37,239",128,628,896,829,"1,152",-0.27,.171,44,.710,.776,.128,71.179,44,18,2,8,,,2,3,1,2013
4,Adam Scott,60,"4,215",- 57.011,"35,733",120,517,836,743,"1,080",-0.27,-1.174,44,.734,.548,.055,57.657,44,16,2,6,"2,472",,2,,2,2013
5,Sergio Garcia,63,"4,435",- 53.761,"36,666",126,538,878,765,"1,134",-0.28,27.798,47,.131,.538,.259,71.404,47,17,0,6,"4,115",,,,1,2013
6,Matt Kuchar,87,"6,091",- 39.200,"49,573",174,716,"1,215","1,031","1,566",-0.29,27.495,69,-.010,.731,.278,96.449,69,23,2,8,"2,927",,2,2,,2013
7,Charl Schwartzel,68,"4,791",- 54.726,"40,271",136,570,952,806,"1,224",-0.31,16.246,54,.195,.711,.061,68.492,54,19,0,5,"4,260",,,,2,2013
8,Jordan Spieth,82,"5,738",- 25.220,"47,466",164,775,"1,143",988,"1,476",-0.30,12.183,67,.611,.480,.200,98.676,67,23,1,9,"3,060",,1,3,,2013
9,Keegan Bradley,87,"6,091",- 25.013,"52,302",174,767,"1,221","1,042","1,566",-0.29,18.002,72,.698,.270,.185,101.011,72,25,0,7,"4,057",,,2,1,2013
10,Jason Day,80,"5,634",- 55.453,"47,589",159,647,"1,115",935,"1,440",-0.28,22.546,61,.452,-.013,.167,59.508,61,21,0,7,"4,052",,,1,2,2013
11,Phil Mickelson,78,"5,467",- 27.152,"44,907",156,624,"1,089",936,"1,404",-0.32,37.669,57,.021,.494,.260,81.832,57,21,2,7,"3,437",,2,2,2,2013
12,Webb Simpson,88,"6,183",- 42.076,"49,937",175,778,"1,229","1,056","1,584",-0.27,21.939,70,.216,.517,.225,88.966,70,25,0,5,"3,700",,,1,,2013
13,Brandt Snedeker,79,"5,545",- 31.497,"44,440",158,692,"1,106",934,"1,422",-0.30,40.150,58,-.025,.121,.354,66.179,58,23,2,9,"3,897",,2,2,1,2013
14,Luke Donald,58,"4,097",- 48.984,"32,262",116,508,808,649,"1,044",-0.28,24.266,46,-.459,.583,.628,58.853,46,17,0,5,"4,267",,,,1,2013
15,Jim Furyk,78,"5,497",- 50.441,"42,952",156,766,"1,087",959,"1,404",-0.25,5.901,64,.023,.950,.323,88.906,64,22,0,7,"3,992",,,1,2,2013
16,Jason Dufner,77,"5,432",- 48.797,"44,026",154,698,"1,077",936,"1,386",-0.24,-14.069,61,.475,.440,-.103,35.441,61,22,1,5,"4,065",,1,,,2013
17,Bill Haas,84,"5,912",- 30.058,"48,412",168,734,"1,178","1,025","1,512",-0.26,18.348,69,.365,.346,.289,87.294,69,25,1,9,"4,177",,1,,1,2013
18,Zach Johnson,83,"5,845",- 28.937,"46,275",166,809,"1,161","1,018","1,494",-0.25,24.485,67,.181,.251,.047,56.552,67,24,1,8,"2,512",,1,1,1,2013
19,Graham DeLaet,94,"6,599",- 10.604,"55,832",187,862,"1,310","1,193","1,692",-0.25,8.078,81,.488,.640,-.159,86.559,81,26,0,7,"3,335",,,1,2,2013
20,Hunter Mahan,85,"6,003",- 44.004,"49,004",169,794,"1,192","1,034","1,530",-0.26,25.964,68,.417,.285,.050,77.108,68,25,0,5,"4,097",,,1,,2013
21,Freddie Jacobson,60,"4,252",- 45.509,"34,471",120,472,839,666,"1,080",-0.27,20.669,46,.075,.304,.247,49.456,46,19,0,3,"5,908",,,,1,2013
22,Dustin Johnson,70,"4,953",- 44.971,"42,809",140,524,982,841,"1,260",-0.29,-5.140,51,.332,.663,-.090,41.048,51,22,1,6,"3,990",,1,1,,2013
23,Brendon de Jonge,110,"7,701",15.926,"62,976",220,"1,016","1,533","1,363","1,980",-0.26,2.936,97,.280,.414,.032,73.294,97,30,0,4,"4,247",,,,,2013
24,Lee Westwood,69,"4,899",- 58.114,"39,775",137,604,965,810,"1,242",-0.23,-24.676,51,.439,.479,.170,30.788,51,19,0,6,"5,438",,,,1,2013
25,Ryan Palmer,79,"5,555",- 11.823,"47,329",157,634,"1,099",942,"1,422",-0.30,22.968,69,.411,.461,-.323,60.897,69,22,0,4,"5,906",,,,,2013
26,Chris Kirk,89,"6,231",17.375,"51,441",178,742,"1,244","1,056","1,602",-0.31,36.956,81,-.213,.620,.099,77.953,81,24,0,3,"5,330",,,1,,2013
27,Rickie Fowler,74,"5,245",- 49.294,"42,106",147,647,"1,039",847,"1,332",-0.28,25.099,59,.143,.141,.074,46.222,59,22,0,5,"5,395",,,,1,2013
28,Billy Horschel,96,"6,767",- 23.566,"56,406",192,858,"1,337","1,166","1,728",-0.29,31.619,83,.465,-.121,-.069,54.488,83,26,1,8,"4,022",,1,1,1,2013
29,Matt Jones,83,"5,824",6.343,"48,223",165,749,"1,157",986,"1,494",-0.27,10.147,70,.396,.123,.220,61.918,70,24,0,5,"5,310",,,1,,2013
30,Kevin Streelman,86,"6,072",- 29.056,"49,445",172,805,"1,197","1,028","1,548",-0.25,16.735,68,.406,.214,-.008,58.317,68,25,1,5,"4,197",,1,1,1,2013
31,Charles Howell III,85,"5,956",17.151,"50,109",170,631,"1,188","1,021","1,530",-0.28,35.056,80,.133,-.084,.374,68.969,80,26,0,5,"5,331",,,1,1,2013
32,Bubba Watson,73,"5,161",- 30.820,"44,030",145,602,"1,025",912,"1,314",-0.27,-5.642,59,.937,.292,-.065,63.059,59,21,0,3,"5,364",,,,,2013
33,Rory McIlroy,55,"3,911",- 45.148,"33,240",110,446,770,648,990,-0.30,-3.796,41,.624,.420,.032,40.365,41,16,0,5,"5,539",,,1,,2013
34,K.J. Choi,84,"5,946",- 38.979,"46,748",168,774,"1,172",996,"1,512",-0.22,21.244,63,.096,.154,.258,53.225,63,24,0,2,"5,913",,,,,2013
35,Jimmy Walker,84,"5,914",- 6.143,"50,147",168,610,"1,169",999,"1,512",-0.29,20.687,75,.082,.407,.164,69.722,75,24,0,5,"5,341",,,1,1,2013
36,Bob Estes,66,"4,648",- 4.150,"37,624",132,580,919,771,"1,188",-0.25,20.768,62,-.216,.277,.362,47.066,62,18,0,2,"6,041",,,,,2013
37,Peter Hanson,43,"3,066",- 40.167,"25,099",85,339,602,474,774,-0.28,15.973,33,-.306,.192,.138,16.772,33,15,0,1,"6,373",,,,,2013
38,Ian Poulter,53,"3,772",- 41.729,"29,859",106,465,745,606,954,-0.23,6.906,39,.200,-.153,.290,20.049,39,16,0,4,"5,596",,,,1,2013
39,Harris English,95,"6,694",- 2.362,"56,092",190,776,"1,323","1,129","1,710",-0.29,39.119,82,.115,.098,-.077,50.304,82,26,1,4,"5,287",,1,,,2013
40,Ernie Els,62,"4,416",- 45.539,"35,916",124,501,868,689,"1,116",-0.27,-6.547,48,.110,.191,.143,14.778,48,19,0,1,"5,811",,,,,2013
41,Roberto Castro,97,"6,824",13.895,"54,478",193,910,"1,351","1,175","1,746",-0.26,-39.019,84,.204,.379,.348,39.153,84,29,0,4,"4,105",,,1,,2013
42,Charley Hoffman,84,"5,947",- 25.274,"49,394",168,697,"1,170",990,"1,512",-0.30,9.350,73,.333,.262,-.145,42.197,73,23,0,5,"5,713",,,,1,2013
43,Graeme McDowell,49,"3,496",- 41.360,"26,916",97,470,686,553,882,-0.23,5.027,37,.251,.217,-.061,20.089,37,16,1,4,"5,613",,1,,1,2013
44,Rory Sabbatini,82,"5,761",20.879,"48,064",164,682,"1,142","1,000","1,476",-0.28,-19.700,72,.273,.468,.002,33.794,72,27,0,5,"5,499",,,,,2013
45,Bryce Molder,80,"5,621",20.597,"43,801",160,734,"1,113",917,"1,440",-0.29,42.205,71,-.538,.052,.395,35.809,71,24,0,,"5,750",,,,,2013
46,Jerry Kelly,75,"5,291",- 1.868,"40,984",150,749,"1,043",883,"1,350",-0.25,12.687,64,.109,.159,.125,37.893,64,22,0,2,"6,079",,,,,2013
47,Marc Leishman,77,"5,477",- 46.006,"43,846",153,633,"1,077",902,"1,386",-0.24,5.144,64,-.099,.345,-.009,20.339,64,23,0,4,"5,658",,,,,2013
48,Chris Stroud,88,"6,206",2.036,"48,753",176,765,"1,226","1,019","1,584",-0.27,26.558,78,-.578,.520,.333,48.083,78,26,0,4,"5,484",,,1,,2013
49,Martin Kaymer,58,"4,148",- 55.551,"33,457",116,497,810,677,"1,044",-0.24,5.770,42,.402,-.070,-.335,5.658,42,17,0,3,"6,050",,,,,2013
50,Russell Henley,78,"5,531",- 26.561,"45,082",156,705,"1,090",902,"1,404",-0.28,40.206,66,.432,-.053,-.233,49.775,66,24,1,3,"5,491",,1,,,2013
51,Camilo Villegas,75,"5,291",2.921,"43,763",150,612,"1,045",901,"1,350",-0.27,-9.556,64,-.183,.885,-.095,29.333,64,23,0,2,"6,034",,,,,2013
52,Chez Reavie,72,"5,081",2.230,"40,721",144,705,"1,003",865,"1,296",-0.25,-.584,67,.381,.186,-.184,25.098,67,22,0,,"6,290",,,,,2013
53,Boo Weekley,100,"7,071",- 9.949,"58,180",200,925,"1,394","1,249","1,800",-0.24,-56.094,83,.594,.401,-.221,8.190,83,27,1,4,"4,295",,1,1,,2013
54,Morgan Hoffmann,64,"4,506",13.201,"37,807",128,516,894,745,"1,152",-0.29,10.240,53,.227,-.344,.242,16.859,53,20,0,3,"6,285",,,,,2013
55,"Ted Potter, Jr.",61,"4,332",- 24.457,"34,194",122,581,854,708,"1,098",-0.24,13.565,55,.166,.046,-.052,22.345,55,22,0,2,"6,211",,,,,2013
56,Kevin Stadler,79,"5,558",21.944,"45,781",158,707,"1,101",980,"1,422",-0.29,-19.575,69,.410,.451,-.110,32.234,69,25,0,3,"5,317",,,,1,2013
57,Stewart Cink,71,"5,052",- 37.080,"41,178",142,565,988,866,"1,278",-0.24,-13.337,56,-.264,.975,-.058,23.268,56,22,0,3,"5,946",,,,,2013
58,Martin Flores,83,"5,847",19.119,"49,874",166,621,"1,157",979,"1,494",-0.26,6.065,76,.136,.092,.118,32.370,76,25,0,2,"6,099",,,,,2013
59,Brian Davis,91,"6,440",- 7.182,"50,734",182,870,"1,268","1,018","1,638",-0.29,19.228,83,.051,.222,.185,57.207,83,28,0,4,"5,505",,,,,2013
60,Tim Clark,61,"4,330",- 17.754,"33,143",121,599,852,681,"1,098",-0.25,2.497,43,.048,.087,-.049,6.193,43,20,0,3,"6,026",,,1,,2013
61,Cameron Tringale,80,"5,651",6.897,"45,950",160,700,"1,113",965,"1,440",-0.25,7.766,75,-.079,.169,.149,25.708,75,24,0,1,"6,003",,,,1,2013
62,Gary Woodland,90,"6,372",- 6.013,"54,376",179,724,"1,257","1,085","1,620",-0.28,5.105,83,.331,.459,-.392,38.082,83,26,1,2,"4,147",,1,1,,2013
63,John Merrick,79,"5,587",1.116,"44,918",158,668,"1,104",946,"1,422",-0.26,4.317,68,.038,.365,.051,35.165,68,23,1,2,"5,398",,1,,,2013
64,David Hearn,88,"6,226",- 1.052,"49,231",176,763,"1,229","1,025","1,584",-0.28,35.344,73,-.199,.179,-.119,25.179,73,26,0,2,"5,624",,,1,,2013
65,John Huh,88,"6,264",- 37.316,"48,792",173,845,"1,233","1,055","1,584",-0.22,-17.011,75,.179,.155,.190,22.353,75,28,0,2,"5,450",,,,1,2013
66,John Rollins,73,"5,155",11.876,"43,152",146,595,"1,016",886,"1,314",-0.26,-16.518,68,.164,.409,-.103,15.457,68,24,0,2,"6,033",,,,,2013
67,Nick Watney,86,"6,103",- 15.925,"50,093",172,750,"1,202","1,060","1,548",-0.24,.445,73,.461,.362,-.317,37.400,73,26,0,4,"4,012",,,1,,2013
68,Patrick Reed,83,"5,870",6.991,"48,472",166,650,"1,158",953,"1,494",-0.28,25.875,74,.089,-.327,.011,9.062,74,26,1,5,"5,604",,1,,,2013
69,Daniel Summerhays,83,"5,863",14.441,"47,421",166,717,"1,155",963,"1,494",-0.29,17.267,78,-.062,.227,.067,35.337,78,26,0,4,"5,422",,,1,,2013
70,Ryan Moore,71,"5,058",- 29.410,"40,093",142,681,995,822,"1,278",-0.25,-1.568,57,.232,.007,.139,19.939,57,22,0,3,"5,544",,,,,2013
71,Stuart Appleby,84,"5,938",12.053,"47,834",168,731,"1,169",986,"1,512",-0.23,27.895,79,-.280,-.219,.387,19.039,79,25,0,1,"6,159",,,,,2013
72,Pat Perez,69,"4,888",- .370,"40,037",138,589,960,843,"1,242",-0.27,-2.515,64,-.127,.505,-.055,18.164,64,22,0,4,"6,180",,,,,2013
73,Jeff Overton,78,"5,514",13.287,"45,618",156,628,"1,086",911,"1,404",-0.28,23.314,74,.296,.099,-.384,24.165,74,24,0,2,"6,223",,,,,2013
74,Justin Leonard,86,"6,089",5.225,"47,520",172,771,"1,198",977,"1,548",-0.28,26.068,75,-.341,-.255,.363,8.613,75,24,0,1,"6,085",,,,,2013
75,Ben Crane,58,"4,114",- 3.898,"32,592",116,493,809,668,"1,044",-0.23,1.321,55,-.143,.313,.005,10.968,55,21,0,2,"6,360",,,,,2013
76,Brian Stuard,74,"5,244",.329,"41,704",148,679,"1,029",876,"1,332",-0.25,4.232,63,-.128,.118,-.125,-4.277,63,25,0,4,"6,131",,,,,2013
77,George McNeill,68,"4,823",- 3.417,"38,893",136,624,951,799,"1,224",-0.25,-1.807,64,-.012,.255,-.030,11.848,64,21,0,,"6,205",,,,,2013
78,James Driscoll,72,"5,110",- 6.090,"41,348",144,540,"1,002",827,"1,296",-0.28,40.948,63,-.422,.022,.139,24.490,63,23,0,2,"6,205",,,,,2013
79,Vaughn Taylor,46,"3,260",1.257,"26,663",92,420,643,526,828,-0.28,4.118,40,-.042,.148,-.247,-1.520,40,16,0,1,"6,483",,,,,2013
80,Ángel Cabrera,73,"5,206",- 30.550,"42,922",146,572,"1,018",854,"1,314",-0.24,3.943,57,.294,-.241,-.059,3.616,57,21,0,2,"5,773",,,1,,2013
81,Josh Teater,82,"5,840",- 25.838,"48,173",164,694,"1,142",982,"1,476",-0.26,1.368,61,.365,.083,-.133,20.615,61,24,0,3,"6,003",,,1,,2013
82,Richard Lee,77,"5,452",8.231,"42,975",154,717,"1,071",922,"1,386",-0.24,40.621,72,-.134,-.074,-.043,22.543,72,24,0,2,"6,160",,,,,2013
83,Mark Wilson,52,"3,696",- 8.374,"28,911",104,515,728,620,936,-0.21,-10.499,50,.185,.252,.072,14.989,50,19,0,3,"6,253",,,,1,2013
84,Nicholas Thompson,99,"7,020",1.109,"57,738",198,894,"1,381","1,209","1,782",-0.24,-24.131,86,.420,.373,-.288,19.333,86,29,0,2,"5,686",,,,,2013
85,Jason Kokrak,78,"5,522",10.079,"47,298",156,578,"1,087",922,"1,404",-0.27,-8.601,72,.079,.201,.029,13.668,72,25,0,4,"5,716",,,,1,2013
86,Kevin Chappell,80,"5,685",- 10.820,"46,861",160,686,"1,115",952,"1,440",-0.25,-22.660,67,.276,.370,.077,25.745,67,24,0,3,"5,492",,,1,,2013
87,John Senden,78,"5,574",- 38.313,"45,127",156,659,"1,088",926,"1,404",-0.22,-8.416,61,.344,-.258,.130,4.787,61,25,0,,"6,231",,,,,2013
88,J.J. Henry,81,"5,757",- 6.622,"45,843",161,735,"1,132",991,"1,458",-0.21,10.780,74,.138,-.122,-.089,5.324,74,26,0,2,"6,213",,,,,2013
89,Vijay Singh,61,"4,366",- 35.278,"35,154",122,529,849,759,"1,098",-0.16,-42.025,48,.371,.501,-.021,-1.193,48,19,0,,"6,438",,,,,2013
90,David Lingmerth,68,"4,848",- 20.285,"38,875",136,613,945,774,"1,224",-0.26,-.526,57,.301,-.255,-.022,.827,57,23,0,3,"5,923",,,2,,2013
91,William McGirt,75,"5,315",10.010,"42,266",150,651,"1,045",882,"1,350",-0.26,16.251,71,-.208,-.118,.165,4.845,71,24,0,2,"6,196",,,1,,2013
92,Erik Compton,74,"5,251",3.777,"43,318",148,586,"1,030",867,"1,332",-0.25,15.213,65,.012,-.363,-.076,-12.557,65,24,0,1,"6,182",,,,,2013
93,David Lynn,69,"4,927",- 26.862,"38,077",137,572,965,776,"1,242",-0.24,24.168,56,-.229,-.164,.323,20.213,56,22,0,2,"5,525",,,1,,2013
