,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
172,Erik Compton,63,"4,528",.668,"35,868",126,472,880,665,"1,134",-0.26,-2.058,51,-.495,-.443,.074,-35.021,51,,,,,,,,,2016
173,Carlos Ortiz,75,"5,382",10.948,"42,439",142,552,"1,046",870,"1,350",-0.27,-14.777,61,-.452,.061,-.272,-44.133,61,,,,,,,,,2016
174,J.J. Henry,66,"4,744",9.257,"37,930",132,550,927,802,"1,188",-0.18,-16.396,61,-.293,-.257,-.097,-44.772,61,,,,,,,,,2016
175,Derek Ernst,57,"4,076",32.301,"33,585",114,479,797,679,"1,026",-0.21,-23.907,43,.152,-.291,.012,-29.374,43,,,,,,,,,2016
176,Rhein Gibson,54,"3,863",29.624,"32,126",108,396,755,662,972,-0.22,-11.705,44,-.067,.000,-.376,-31.168,44,,,,,,,,,2016
177,Dicky Pride,53,"3,795",26.428,"29,561",106,488,741,581,954,-0.24,5.901,41,-.212,-.856,.094,-34.015,41,,,,,,,,,2016
178,Hunter Mahan,61,"4,405",- 6.615,"33,612",114,485,849,689,"1,098",-0.26,12.663,50,-.118,-.869,-.268,-38.961,50,,,,,,,,,2016
179,Miguel Angel Carballo,44,"3,147",26.202,"25,555",88,352,615,507,792,-0.22,-15.182,34,.036,-.584,.073,-31.316,34,,,,,,,,,2016
180,Abraham Ancer,48,"3,437",25.597,"26,534",96,439,671,534,864,-0.24,-15.980,38,-.024,-.340,.057,-27.640,38,,,,,,,,,2016
181,Ángel Cabrera,62,"4,479",- 4.178,"36,530",124,504,868,704,"1,116",-0.23,-16.986,49,-.106,-.355,-.582,-57.015,49,,,,,,,,,2016
182,Rory Sabbatini,54,"3,888",24.350,"28,762",100,467,751,625,972,-0.23,-36.836,39,.115,-.628,.054,-54.728,39,,,,,,,,,2016
183,Brendon Todd,63,"4,564",17.891,"35,290",126,510,879,615,"1,134",-0.25,24.939,54,-1.043,-1.424,.412,-86.026,54,,,,,,,,,2016
184,Robert Allenby,51,"3,714",14.959,"28,782",102,392,712,585,918,-0.19,-20.117,41,-.631,-.460,-.368,-79.953,41,,,,,,,,,2016
185,Carl Pettersson,49,"3,574",15.212,"27,808",98,325,684,497,882,-0.25,-9.173,46,-.994,-.408,-.363,-90.373,46,,,,,,,,,2016
186,D.H. Lee,57,"4,147",37.670,"31,971",114,485,797,617,"1,026",-0.26,1.949,46,-.510,-1.318,.007,-81.801,46,,,,,,,,,2016
187,Steven Bowditch,71,"5,268",4.574,"36,398",126,428,995,696,"1,278",-0.26,7.212,55,-1.616,-1.680,-.044,-176.506,55,,,,,,,,,2016
