,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money,driving_ranking,best_putters,best_approachers,best_pw,Predictive_Ranking
263,Branden Grace,67,63.49,2018,298.9,67.1,29.34,57.78,70.41199999999998,590,0,2,0.35,0.812,0.163,0.174,0.125,1529289,261,315,232,263,466.752785
217,Stewart Cink,87,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,0,3,-0.345,0.465,0.057,0.698,0.055,1887208,248,46,369,217,464.545034
293,Andrew Putnam,97,60.42,2018,293.8,70.47,29.36,61.52,70.579,1026,1,5,0.052000000000000005,0.47200000000000003,-0.146,0.38,0.187,2387382,180,195,304,293,464.248388
209,Ian Poulter,73,66.41,2018,293.6,67.01,28.97,57.11,70.593,1030,1,4,0.223,0.85,0.141,0.435,0.051,2714450,178,266,324,209,462.246631
370,Seung-Yul Noh,91,53.09,2017,298.5,65.58,28.74,59.18,70.955,446,0,3,0.244,0.18600000000000005,-0.541,0.044000000000000004,0.439,1080706,254,275,182,370,462.107683
186,Brooks Koepka,88,54.14,2017,310.5,62.28,28.32,56.2,69.847,1736,1,6,0.581,0.9540000000000001,0.546,0.057999999999999996,0.019,5612397,365,369,190,186,461.80447000000004
76,Daniel Berger,81,64.58,2018,297.7,66.89,29.42,58.94,70.32,565,0,1,0.319,0.816,0.1,0.5429999999999999,-0.145,1721763,242,298,351,76,460.514543
113,Daniel Berger,91,60.02,2017,296.5,66.93,28.73,62.8,70.12100000000001,1623,1,6,0.149,1.032,0.282,0.57,-0.09,4287161,226,238,358,113,457.800293
242,Charles Howell III,104,62.59,2018,300.9,69.33,29.5,60.87,70.219,885,0,4,0.21899999999999997,0.8009999999999999,0.324,0.163,0.095,2179725,294,264,226,242,452.874674
271,Lucas Glover,93,65.31,2017,298.1,70.08,29.52,60.13,70.139,706,0,4,-0.026000000000000002,0.9329999999999999,0.502,0.301,0.14,1955822,246,148,280,271,451.628271
156,Xander Schauffele,96,59.77,2018,304.9,65.59,29.18,57.81,70.486,1081,0,5,0.196,0.644,0.24,0.235,-0.027000000000000003,4047538,332,255,255,156,450.31128
38,Gary Woodland,96,63.69,2018,313.5,70.51,29.93,54.45,70.161,1044,1,3,0.006999999999999999,1.0659999999999998,0.8029999999999999,0.484,-0.228,3108907,373,171,333,38,449.442895
342,Aaron Baddeley,61,52.25,2017,292.6,62.57,28.49,59.9,71.483,325,0,2,0.044000000000000004,-0.172,-0.782,0.256,0.31,755356,160,191,265,342,447.93026800000007
247,Kevin Chappell,95,57.61,2017,304.7,65.05,29.35,56.56,70.779,1015,1,4,-0.303,0.45899999999999996,0.442,0.294,0.106,3149615,330,57,275,247,446.655169
303,Martin Laird,83,64.82,2017,296.1,65.61,28.92,60.94,70.45,676,0,5,0.253,0.8109999999999999,0.235,0.139,0.203,1759706,220,277,218,303,446.4599300000001
333,Ryan Moore,78,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,0,5,-0.271,0.941,0.406,0.532,0.273,1986608,102,68,349,333,446.07427
244,Scott Piercy,84,65.68,2018,296.6,69.72,29.86,55.96,70.736,802,1,2,-0.569,0.29,0.209,0.5529999999999999,0.09699999999999999,1882337,228,10,352,244,445.72275
369,Matt Kuchar,95,65.36,2017,285.1,66.6,28.7,65.78,69.806,1260,0,6,0.332,1.1059999999999999,0.158,0.253,0.43,4282489,50,303,264,369,445.260582
201,Kyle Stanley,104,68.55,2017,296.5,70.39,29.63,58.35,69.98899999999999,1204,1,5,-0.309,0.951,0.659,0.562,0.038,3402106,227,54,357,201,443.126619
233,Charles Howell III,86,54.72,2017,296.9,67.01,29.11,62.63,70.37100000000002,1102,0,5,0.172,0.4920000000000001,0.016,0.223,0.081,2606383,230,249,252,233,437.54957199999996
135,Ryan Palmer,61,56.94,2017,303.1,65.9,30.08,57.83,71.116,336,0,3,-1.159,-0.127,0.5329999999999999,0.555,-0.057999999999999996,772560,319,0,355,135,436.24333300000006
304,Martin Laird,73,63.22,2018,299.0,65.9,28.83,59.15,70.839,443,0,3,0.282,0.47,-0.045,0.024,0.209,1017580,265,291,171,304,435.64317500000004
378,Jamie Lovemark,92,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,0,3,0.01,0.38799999999999996,-0.10099999999999999,-0.04,0.519,1377286,320,174,140,378,434.27325200000007
92,Jimmy Walker,68,55.97,2017,295.7,63.75,28.86,57.92,71.155,439,0,1,0.135,0.355,-0.258,0.518,-0.12300000000000001,1101162,213,235,345,92,433.755973
272,Wesley Bryan,95,57.89,2017,279.6,60.92,28.12,61.5,71.062,1046,1,5,0.34,0.16699999999999998,-0.899,0.42100000000000004,0.141,2495751,20,310,319,272,433.53583699999996
176,Russell Henley,99,62.79,2017,297.6,67.32,28.99,57.22,70.027,1129,1,4,0.434,0.917,0.31,0.196,0.0,3413876,239,340,239,176,433.45544400000006
362,Cameron Smith,86,56.26,2017,292.6,63.14,28.52,58.64,70.90899999999998,847,1,4,0.084,0.502,-0.13,0.149,0.39899999999999997,2123216,161,212,222,362,432.083311
5,Graham DeLaet,82,63.68,2017,301.1,68.57,29.41,56.51,70.376,640,0,6,0.29100000000000004,0.768,0.486,0.4270000000000001,-0.436,1603666,299,293,322,5,431.934221
228,Byeong Hun An,77,56.76,2017,299.9,64.52,29.2,55.93,70.887,468,0,3,-0.375,0.617,0.524,0.369,0.071,1236090,280,37,297,228,428.5788
381,Aaron Baddeley,84,53.27,2018,295.3,63.39,28.85,61.09,70.85,342,0,1,-0.057,0.309,-0.345,0.11699999999999999,0.595,725928,205,134,211,381,428.302795
94,Emiliano Grillo,94,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,0,5,0.546,1.133,0.364,0.345,-0.122,2493163,203,364,291,94,428.174054
255,Billy Hurley III,80,60.57,2017,276.9,63.61,28.76,58.78,71.176,333,0,1,0.374,0.11,-0.812,0.4320000000000001,0.11699999999999999,719579,6,323,323,255,427.235555
225,Kevin Kisner,105,67.0,2017,288.7,66.43,28.79,62.5,70.294,1612,1,7,0.38799999999999996,1.148,0.257,0.33399999999999996,0.065,4766936,93,328,289,225,427.10881900000004
363,Wesley Bryan,69,55.41,2018,280.4,61.28,28.1,60.17,71.55199999999998,219,0,0,0.36,-0.45399999999999996,-1.443,0.222,0.40700000000000003,498166,23,320,250,363,426.683224
104,Jason Kokrak,99,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,0,4,0.022000000000000002,0.539,0.36,0.257,-0.10099999999999999,1794431,360,178,266,104,426.283032
161,Scott Stallings,96,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,0,2,-0.07,0.27,-0.008,0.373,-0.025,1147573,276,126,299,161,425.12918399999995
154,Alex Noren,67,61.73,2018,299.2,64.91,28.97,61.74,69.973,989,0,3,0.758,1.044,0.20800000000000002,0.107,-0.028999999999999998,2699150,268,377,209,154,425.00588200000004
306,Matt Kuchar,88,63.27,2018,288.0,66.81,28.85,63.6,70.461,679,0,4,0.348,0.5760000000000001,-0.19899999999999998,0.21600000000000005,0.21100000000000002,1720097,84,314,247,306,423.685903
150,Ollie Schniederjans,92,51.89,2017,300.7,66.03,29.15,58.65,70.704,882,0,5,-0.019,0.38299999999999995,0.125,0.309,-0.032,1935669,289,154,284,150,422.938667
143,Bud Cauley,92,59.83,2017,296.0,67.38,29.24,59.21,70.432,666,0,5,-0.273,0.561,0.264,0.588,-0.05,1553685,217,66,363,143,422.45719299999996
286,Jon Rahm,71,59.2,2018,308.9,70.12,29.14,57.18,69.958,1430,1,5,-0.151,0.889,0.8170000000000001,0.047,0.17600000000000002,3992678,356,97,184,286,420.125205
34,Nick Watney,75,55.67,2017,300.9,66.43,29.45,58.99,70.685,386,0,1,-0.113,0.171,-0.063,0.585,-0.23800000000000002,824162,296,111,361,34,419.879352
269,J.B. Holmes,83,49.75,2017,306.4,62.19,28.88,56.12,70.66,543,0,2,-0.032,0.521,0.5329999999999999,0.039,0.13699999999999998,1353584,345,145,179,269,418.387044
311,Cameron Smith,85,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,0,5,0.115,0.21899999999999997,-0.14800000000000002,0.034,0.218,3622607,253,222,175,311,417.391589
151,Charley Hoffman,112,57.72,2017,298.3,66.13,29.0,56.78,70.351,1498,0,7,-0.012,0.78,0.586,0.349,-0.031,4161008,251,161,293,151,416.35047399999996
323,Patrick Reed,107,56.52,2017,295.3,62.09,28.33,60.92,70.453,896,0,3,0.5770000000000001,0.893,0.19899999999999998,-0.049,0.25,3055111,206,368,134,323,414.99165300000004
345,Brandt Snedeker,84,62.79,2018,293.1,65.04,28.63,60.08,70.37899999999998,1077,1,4,0.478,0.625,-0.145,-0.026000000000000002,0.318,2448970,169,350,146,345,412.753778
157,Henrik Stenson,60,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,0,5,-0.207,1.153,0.4270000000000001,0.96,-0.027000000000000003,2680487,139,77,381,157,412.651712
317,Camilo Villegas,76,54.37,2017,288.7,61.88,28.31,62.35,70.881,464,0,2,0.4,0.218,-0.524,0.107,0.235,971420,94,331,210,317,410.84503599999994
63,Billy Horschel,86,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.5379999999999999,0.35200000000000004,-0.16899999999999998,4315200,208,330,294,63,409.92426900000004
321,Bud Cauley,55,60.81,2018,295.4,64.26,28.58,60.12,71.35600000000002,405,0,2,0.3670000000000001,0.461,-0.113,-0.032,0.239,900591,207,322,145,321,409.566967
329,Ricky Barnes,65,47.15,2018,290.6,63.75,28.25,57.4,71.663,164,0,1,0.33799999999999997,-0.365,-1.0190000000000001,0.059000000000000004,0.257,340591,123,309,191,329,407.988174
203,Aaron Wise,90,63.33,2018,302.9,68.81,29.15,56.28,70.247,1086,1,3,0.23800000000000002,0.703,0.41,0.012,0.042,3486407,316,272,166,203,405.215087
84,Jason Dufner,89,63.3,2017,294.5,67.15,29.21,57.72,70.259,1126,1,2,-0.001,0.7340000000000001,0.268,0.519,-0.133,3310341,194,166,347,84,405.003383
15,Bronson Burgoon,69,64.53,2018,302.8,68.44,29.55,55.61,70.70100000000002,446,0,2,0.107,0.48100000000000004,0.309,0.371,-0.307,1179616,313,217,298,15,403.655113
182,Shawn Stefani,76,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,0,1,-0.034,0.107,-0.09300000000000001,0.22,0.013000000000000001,523204,274,141,249,182,401.869036
184,Kevin Streelman,94,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,0,5,-0.25,0.619,0.439,0.415,0.013999999999999999,1523642,199,71,318,184,401.858408
155,Kyle Stanley,93,71.29,2018,295.7,71.09,29.89,54.8,70.404,1198,0,5,0.037000000000000005,0.6859999999999999,0.37799999999999995,0.298,-0.027000000000000003,3916001,214,189,279,155,400.972657
72,Patton Kizzire,92,55.59,2018,298.7,69.04,29.53,55.24,70.84100000000002,1386,2,4,0.03,-0.033,-0.294,0.381,-0.15,3541151,256,184,306,72,400.97017800000003
331,Adam Hadwin,92,65.6,2018,289.4,68.04,29.26,58.59,70.75,638,0,3,0.106,0.596,0.057,0.166,0.267,1932488,105,215,227,331,400.934176
197,J.B. Holmes,77,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,0,3,-0.207,0.5489999999999999,0.565,0.159,0.032,1595942,341,78,225,197,400.656817
314,Johnson Wagner,75,64.25,2018,286.1,67.87,28.65,65.41,70.758,338,0,0,0.623,0.715,-0.213,0.078,0.226,656322,62,372,197,314,398.87926500000003
318,Jim Furyk,50,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,0,2,0.389,0.41200000000000003,-0.392,0.179,0.235,660010,24,329,233,318,398.76437
274,Chad Campbell,97,67.21,2017,285.6,69.07,29.51,64.63,70.509,616,0,3,-0.28600000000000003,0.405,0.040999999999999995,0.506,0.14400000000000002,1329941,57,60,342,274,396.119423
276,Russell Knox,94,67.7,2018,291.7,69.57,29.7,59.43,70.568,585,0,3,-0.08800000000000001,0.38299999999999995,0.059000000000000004,0.263,0.149,1424030,144,119,267,276,395.335848
66,Nick Watney,94,56.33,2018,307.5,67.96,29.26,55.68,70.862,491,0,1,0.2,0.34299999999999997,0.17,0.141,-0.16699999999999998,1402833,349,257,219,66,394.660851
114,Xander Schauffele,96,57.68,2017,306.3,67.74,29.1,56.95,70.163,988,1,3,0.402,0.7240000000000001,0.5539999999999999,0.011000000000000001,-0.086,4312674,342,333,164,114,394.065071
173,Joel Dahmen,93,66.36,2018,295.8,68.82,29.26,63.31,70.578,676,0,3,-0.27699999999999997,0.4,0.3,0.381,-0.004,1476838,215,64,305,173,392.57027700000003
160,Kevin Tway,110,52.61,2018,310.1,66.88,29.15,56.77,70.8,577,0,3,0.052000000000000005,0.32899999999999996,0.271,0.032,-0.026000000000000002,1379544,362,196,174,160,390.35623999999996
50,Russell Henley,77,70.03,2018,293.0,68.77,29.8,54.33,70.48899999999998,569,0,3,0.16699999999999998,0.541,0.09300000000000001,0.467,-0.18600000000000005,1516438,168,244,330,50,389.95966
128,Charley Hoffman,87,58.34,2018,299.5,66.53,29.19,56.22,70.521,515,0,0,0.026000000000000002,0.425,0.254,0.21600000000000005,-0.071,1400637,272,183,248,128,389.474385
252,Ricky Barnes,100,54.32,2017,284.9,63.53,28.62,60.1,71.221,324,0,0,0.26,-0.027000000000000003,-0.638,0.23800000000000002,0.114,697624,49,281,259,252,386.353621
277,Peter Uihlein,83,52.93,2018,302.2,67.88,29.41,57.87,70.578,593,0,4,0.021,0.268,0.132,-0.04,0.156,1797715,305,177,139,277,386.17868400000003
118,Harold Varner III,101,59.61,2017,302.4,67.68,29.69,56.94,70.96600000000002,375,0,1,-0.402,0.109,0.262,0.33,-0.081,918779,307,33,287,118,385.344685
223,C.T. Pan,104,68.98,2018,292.7,71.2,29.66,56.89,70.457,693,0,1,-0.067,0.478,0.215,0.267,0.063,1881787,165,127,269,223,385.31005
215,Talor Gooch,78,57.31,2018,298.9,63.58,28.94,59.53,71.149,308,0,0,0.031,-0.163,-0.322,0.075,0.053,654200,262,186,194,215,384.382635
206,Graeme McDowell,67,64.92,2018,293.2,64.5,29.2,59.95,71.001,274,0,1,0.478,0.6970000000000001,0.124,0.046,0.049,581024,172,351,183,206,382.389526
300,William McGirt,84,59.89,2018,289.3,67.59,29.28,62.86,70.791,449,0,3,0.2,0.17800000000000002,-0.306,0.091,0.19399999999999998,933327,103,258,203,300,382.141934
248,Michael Kim,94,59.71,2017,289.6,65.68,28.96,58.81,70.707,483,0,1,0.22899999999999998,0.247,-0.247,0.158,0.106,1018204,110,268,223,248,380.185061
238,Cameron Tringale,67,51.99,2018,289.3,65.52,29.81,55.24,72.146,88,0,0,-0.10400000000000001,-1.0190000000000001,-1.351,0.348,0.08800000000000001,179459,104,114,292,238,379.6479
141,Shane Lowry,64,61.2,2018,300.7,68.65,30.04,53.48,70.75399999999998,296,0,0,-0.28600000000000003,0.23800000000000002,0.331,0.245,-0.052000000000000005,696897,291,59,262,141,378.025627
48,Robert Garrigus,78,59.52,2017,300.7,69.52,29.46,54.94,70.712,448,0,3,-0.456,0.253,0.42200000000000004,0.47700000000000004,-0.19,880905,290,21,332,48,377.779109
214,Kevin Tway,96,52.48,2017,309.2,64.71,28.86,59.03,70.868,619,0,3,0.261,0.433,0.28800000000000003,-0.168,0.053,1472613,357,282,91,214,376.03202999999996
124,Chez Reavie,98,70.53,2017,284.8,66.91,28.64,63.28,70.244,666,0,3,0.41700000000000004,0.762,0.121,0.375,-0.073,1819207,46,336,300,124,375.995282
326,Brian Gay,103,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,0,6,0.442,0.565,-0.166,0.036000000000000004,0.253,2152501,38,341,178,326,372.154433
115,Scott Stallings,81,57.04,2017,297.6,67.89,29.65,55.51,70.811,438,0,3,-0.32,0.02,0.049,0.375,-0.084,955337,240,49,301,115,371.433489
105,Sam Ryder,82,66.91,2018,297.3,72.08,29.88,56.47,70.914,442,0,3,-0.349,0.154,0.203,0.39899999999999997,-0.099,1046166,238,44,310,105,371.432755
146,Adam Hadwin,98,62.85,2017,290.7,64.89,28.43,63.47,70.583,1347,1,5,0.409,0.64,0.003,0.183,-0.044000000000000004,3455012,126,335,235,146,371.15094799999997
148,Jim Furyk,54,70.75,2017,270.1,65.72,29.36,61.03,71.071,232,0,1,0.187,-0.023,-0.491,0.4920000000000001,-0.036000000000000004,558097,0,253,336,148,369.89443100000005
