,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money
271,Patrick Cantlay,52,61.47,2017,298.9,69.21,29.19,60.15,69.971,578,0,2,0.159,1.269,0.623,0.467,0.021,2049632
272,Pat Perez,93,61.46,2017,290.6,66.04,28.66,63.38,70.25,1461,1,5,0.34600000000000003,0.877,-0.147,0.222,0.44,4361400
273,Sergio Garcia,65,61.08,2017,300.9,69.73,29.38,61.39,69.596,1085,1,2,-0.311,0.941,0.795,0.378,0.182,3522476
274,Ryan Blaum,100,60.94,2017,284.1,65.28,28.82,60.0,70.866,434,0,2,0.334,0.047,-0.198,-0.032,-0.057,962768
275,Rod Pampling,71,60.83,2017,287.8,64.01,29.97,52.83,71.861,630,1,1,-0.518,-0.677,-0.11,-0.231,0.183,1539422
276,Troy Merritt,82,60.79,2017,289.8,64.71,28.88,58.51,71.398,265,0,1,-0.017,-0.146,-0.118,-0.018000000000000002,-0.009000000000000001,569682
277,Brett Drewitt,57,60.73,2017,286.4,64.78,29.36,59.23,72.13,95,0,0,-0.457,-1.035,-0.209,-0.314,-0.054000000000000006,184388
278,Billy Hurley III,80,60.57,2017,276.9,63.61,28.76,58.78,71.176,333,0,1,0.374,0.11,-0.812,0.4320000000000001,0.117,719579
279,Shawn Stefani,72,60.53,2017,294.0,67.48,29.28,59.55,70.983,188,0,1,-0.057,-0.043,0.01,-0.119,0.122,404377
280,Kevin Na,86,60.46,2017,283.6,65.46,28.79,62.06,70.399,584,0,4,0.265,0.755,-0.406,0.631,0.28800000000000003,1728351
281,Mark Hubbard,81,60.41,2017,282.7,65.39,29.5,58.57,71.87100000000002,124,0,0,-0.2,-0.7020000000000001,-0.539,0.101,-0.064,267968
282,Morgan Hoffmann,92,60.39,2017,293.9,63.57,28.81,60.14,71.107,565,0,1,0.078,-0.06,0.165,-0.419,0.115,1278568
283,Rafa Cabrera Bello,63,60.33,2017,291.0,62.6,28.8,60.74,70.693,615,0,4,0.473,0.101,-0.223,-0.171,0.068,1934675
284,Hudson Swafford,94,60.27,2017,305.1,68.21,29.49,55.53,70.618,921,1,4,-0.005,0.314,0.454,0.202,-0.337,2246090
285,Cameron Percy,71,60.18,2017,292.5,69.91,29.78,60.23,71.03,291,0,1,-0.205,-0.08199999999999999,-0.019,0.266,-0.123,623694
286,Jonas Blixt,74,60.1,2017,288.8,61.51,28.16,58.56,71.283,578,1,1,0.536,-0.341,-0.3,-0.614,0.037000000000000005,1408288
287,Kelly Kraft,75,60.06,2017,291.9,63.15,29.32,53.5,71.491,672,0,3,-0.157,-0.6809999999999999,-0.205,0.159,-0.479,1638045
288,Daniel Berger,91,60.02,2017,296.5,66.93,28.73,62.8,70.12100000000001,1623,1,6,0.149,1.032,0.282,0.57,-0.09,4287161
289,Louis Oosthuizen,69,59.98,2017,295.2,65.13,28.91,62.91,70.22,956,0,3,0.53,1.179,0.301,0.215,0.189,3105422
290,Mark Anderson,54,59.97,2017,283.8,65.6,29.13,61.18,71.5,98,0,1,-0.016,-0.325,-0.149,-0.241,0.08199999999999999,188806
291,Sean O'Hair,84,59.91,2017,297.2,66.19,29.06,57.52,70.801,707,0,5,0.107,0.422,0.252,0.118,-0.101,1873856
292,Bud Cauley,92,59.83,2017,296.0,67.38,29.24,59.21,70.432,666,0,5,-0.273,0.561,0.264,0.588,-0.05,1553685
293,Anirban Lahiri,72,59.82,2017,297.0,63.43,28.6,55.06,70.79899999999998,667,0,2,-0.336,-0.18600000000000005,0.234,-0.14300000000000002,0.059,1944289
294,Greg Chalmers,75,59.8,2017,278.0,59.86,28.17,59.26,71.758,156,0,0,0.316,-0.5329999999999999,-0.496,-0.529,0.175,344631
295,Billy Horschel,88,59.8,2017,299.5,68.19,29.86,54.47,70.832,1068,1,4,0.084,0.138,0.224,0.02,-0.324,2697960
296,Tyrone Van Aswegen,105,59.79,2017,287.2,66.38,29.36,58.94,71.181,407,0,1,-0.32,-0.217,-0.067,0.084,0.085,806410
297,Michael Kim,94,59.71,2017,289.6,65.68,28.96,58.81,70.707,483,0,1,0.229,0.247,-0.247,0.158,0.106,1018204
298,Sung Kang,104,59.65,2017,296.4,66.07,29.08,56.98,70.49600000000002,798,0,3,0.154,0.478,0.255,0.251,-0.182,1943309
